p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.25348e-03,-1.40594e-03,4.21499e-04,6.23347e-22,1,4.60000e-02,5.32527e-01,3.25269e-02,5.00000e-03
-1.25369e-03,-1.45098e-03,4.37398e-04,6.53029e-22,1,4.70000e-02,5.33234e-01,3.32340e-02,5.00000e-03
-1.25391e-03,-1.49603e-03,4.53298e-04,6.82713e-22,1,4.80000e-02,5.33941e-01,3.39411e-02,5.00000e-03
-1.25412e-03,-1.54107e-03,4.69197e-04,7.12397e-22,1,4.90000e-02,5.34648e-01,3.46482e-02,5.00000e-03
-1.25433e-03,-1.58611e-03,4.85097e-04,7.42079e-22,1,5.00000e-02,5.35355e-01,3.53553e-02,5.00000e-03
-1.25258e-03,-1.65809e-03,5.15855e-04,7.42078e-22,1,5.10000e-02,5.36062e-01,3.60624e-02,5.00000e-03
-1.25082e-03,-1.73007e-03,5.46612e-04,7.42079e-22,1,5.20000e-02,5.36770e-01,3.67696e-02,5.00000e-03
-1.24907e-03,-1.80205e-03,5.77370e-04,7.42080e-22,1,5.30000e-02,5.37477e-01,3.74767e-02,5.00000e-03
-1.24732e-03,-1.87403e-03,6.08128e-04,7.42079e-22,1,5.40000e-02,5.38184e-01,3.81838e-02,5.00000e-03
-1.24556e-03,-1.94602e-03,6.38886e-04,7.42079e-22,1,5.50000e-02,5.38891e-01,3.88909e-02,5.00000e-03
-1.24381e-03,-2.01800e-03,6.69644e-04,7.42080e-22,1,5.60000e-02,5.39598e-01,3.95980e-02,5.00000e-03
-1.24205e-03,-2.08998e-03,7.00401e-04,7.42079e-22,1,5.70000e-02,5.40305e-01,4.03051e-02,5.00000e-03
-1.24030e-03,-2.16196e-03,7.31159e-04,7.42078e-22,1,5.80000e-02,5.41012e-01,4.10122e-02,5.00000e-03
-1.23854e-03,-2.23394e-03,7.61917e-04,7.42079e-22,1,5.90000e-02,5.41719e-01,4.17193e-02,5.00000e-03
-1.23679e-03,-2.30592e-03,7.92675e-04,7.42080e-22,1,6.00000e-02,5.42426e-01,4.24264e-02,5.00000e-03
-1.23503e-03,-2.37790e-03,8.23432e-04,7.42079e-22,1,6.10000e-02,5.43133e-01,4.31335e-02,5.00000e-03
-1.23328e-03,-2.44988e-03,8.54190e-04,7.42079e-22,1,6.20000e-02,5.43841e-01,4.38406e-02,5.00000e-03
-1.23152e-03,-2.52187e-03,8.84948e-04,7.42081e-22,1,6.30000e-02,5.44548e-01,4.45477e-02,5.00000e-03
-1.22977e-03,-2.59385e-03,9.15706e-04,7.42079e-22,1,6.40000e-02,5.45255e-01,4.52548e-02,5.00000e-03
-1.22801e-03,-2.66583e-03,9.46463e-04,7.42079e-22,1,6.50000e-02,5.45962e-01,4.59619e-02,5.00000e-03
-1.22626e-03,-2.73781e-03,9.77221e-04,7.42079e-22,1,6.60000e-02,5.46669e-01,4.66690e-02,5.00000e-03
-1.22451e-03,-2.80979e-03,1.00798e-03,7.42080e-22,1,6.70000e-02,5.47376e-01,4.73762e-02,5.00000e-03
-1.22275e-03,-2.88177e-03,1.03874e-03,7.42079e-22,1,6.80000e-02,5.48083e-01,4.80833e-02,5.00000e-03
-1.22100e-03,-2.95375e-03,1.06949e-03,7.42079e-22,1,6.90000e-02,5.48790e-01,4.87904e-02,5.00000e-03
-1.21924e-03,-3.02573e-03,1.10025e-03,7.42079e-22,1,7.00000e-02,5.49497e-01,4.94975e-02,5.00000e-03
-1.21749e-03,-3.09772e-03,1.13101e-03,7.42080e-22,1,7.10000e-02,5.50205e-01,5.02046e-02,5.00000e-03
-1.21573e-03,-3.16970e-03,1.16177e-03,7.42079e-22,1,7.20000e-02,5.50912e-01,5.09117e-02,5.00000e-03
-1.21398e-03,-3.24168e-03,1.19253e-03,7.42079e-22,1,7.30000e-02,5.51619e-01,5.16188e-02,5.00000e-03
-1.21222e-03,-3.31366e-03,1.22328e-03,7.42080e-22,1,7.40000e-02,5.52326e-01,5.23259e-02,5.00000e-03
-1.21047e-03,-3.38564e-03,1.25404e-03,7.42079e-22,1,7.50000e-02,5.53033e-01,5.30330e-02,5.00000e-03
-1.20763e-03,-3.48433e-03,1.30308e-03,7.07901e-22,1,7.60000e-02,5.53740e-01,5.37401e-02,5.00000e-03
-1.20478e-03,-3.58301e-03,1.35212e-03,6.73723e-22,1,7.70000e-02,5.54447e-01,5.44472e-02,5.00000e-03
-1.20194e-03,-3.68170e-03,1.40116e-03,6.39546e-22,1,7.80000e-02,5.55154e-01,5.51543e-02,5.00000e-03
-1.19910e-03,-3.78038e-03,1.45019e-03,6.05367e-22,1,7.90000e-02,5.55861e-01,5.58614e-02,5.00000e-03
-1.19626e-03,-3.87907e-03,1.49923e-03,5.71189e-22,1,8.00000e-02,5.56569e-01,5.65685e-02,5.00000e-03
-1.19342e-03,-3.97776e-03,1.54827e-03,5.37012e-22,1,8.10000e-02,5.57276e-01,5.72756e-02,5.00000e-03
-1.19057e-03,-4.07644e-03,1.59731e-03,5.02833e-22,1,8.20000e-02,5.57983e-01,5.79828e-02,5.00000e-03
-1.18773e-03,-4.17513e-03,1.64635e-03,4.68654e-22,1,8.30000e-02,5.58690e-01,5.86899e-02,5.00000e-03
-1.18489e-03,-4.27381e-03,1.69538e-03,4.34477e-22,1,8.40000e-02,5.59397e-01,5.93970e-02,5.00000e-03
-1.18205e-03,-4.37250e-03,1.74442e-03,4.00299e-22,1,8.50000e-02,5.60104e-01,6.01041e-02,5.00000e-03
-1.17921e-03,-4.47118e-03,1.79346e-03,3.66120e-22,1,8.60000e-02,5.60811e-01,6.08112e-02,5.00000e-03
-1.17637e-03,-4.56987e-03,1.84250e-03,3.31943e-22,1,8.70000e-02,5.61518e-01,6.15183e-02,5.00000e-03
-1.17352e-03,-4.66856e-03,1.89154e-03,2.97765e-22,1,8.80000e-02,5.62225e-01,6.22254e-02,5.00000e-03
-1.17068e-03,-4.76724e-03,1.94057e-03,2.63587e-22,1,8.90000e-02,5.62932e-01,6.29325e-02,5.00000e-03
-1.16784e-03,-4.86592e-03,1.98961e-03,2.29408e-22,1,9.00000e-02,5.63640e-01,6.36396e-02,5.00000e-03
-1.16500e-03,-4.96461e-03,2.03865e-03,1.95231e-22,1,9.10000e-02,5.64347e-01,6.43467e-02,5.00000e-03
-1.16216e-03,-5.06330e-03,2.08769e-03,1.61053e-22,1,9.20000e-02,5.65054e-01,6.50538e-02,5.00000e-03
-1.15931e-03,-5.16198e-03,2.13673e-03,1.26874e-22,1,9.30000e-02,5.65761e-01,6.57609e-02,5.00000e-03
-1.15647e-03,-5.26067e-03,2.18576e-03,9.26970e-23,1,9.40000e-02,5.66468e-01,6.64680e-02,5.00000e-03
-1.15363e-03,-5.35936e-03,2.23480e-03,5.85187e-23,1,9.50000e-02,5.67175e-01,6.71751e-02,5.00000e-03
-1.15079e-03,-5.45804e-03,2.28384e-03,2.43403e-23,1,9.60000e-02,5.67882e-01,6.78822e-02,5.00000e-03
-1.14795e-03,-5.55672e-03,2.33288e-03,-9.83867e-24,1,9.70000e-02,5.68589e-01,6.85894e-02,5.00000e-03
-1.14511e-03,-5.65541e-03,2.38192e-03,-4.40152e-23,1,9.80000e-02,5.69296e-01,6.92965e-02,5.00000e-03
-1.14226e-03,-5.75410e-03,2.43095e-03,-7.81938e-23,1,9.90000e-02,5.70004e-01,7.00036e-02,5.00000e-03
-1.13942e-03,-5.85278e-03,2.47999e-03,-1.12372e-22,1,1.00000e-01,5.70711e-01,7.07107e-02,5.00000e-03
-1.13584e-03,-5.97773e-03,2.54932e-03,-1.12371e-22,1,1.01000e-01,5.71418e-01,7.14178e-02,5.00000e-03
-1.13226e-03,-6.10267e-03,2.61864e-03,-1.12372e-22,1,1.02000e-01,5.72125e-01,7.21249e-02,5.00000e-03
-1.12869e-03,-6.22762e-03,2.68796e-03,-1.12372e-22,1,1.03000e-01,5.72832e-01,7.28320e-02,5.00000e-03
-1.12511e-03,-6.35256e-03,2.75728e-03,-1.12373e-22,1,1.04000e-01,5.73539e-01,7.35391e-02,5.00000e-03
-1.12153e-03,-6.47751e-03,2.82660e-03,-1.12371e-22,1,1.05000e-01,5.74246e-01,7.42462e-02,5.00000e-03
-1.11795e-03,-6.60245e-03,2.89593e-03,-1.12372e-22,1,1.06000e-01,5.74953e-01,7.49533e-02,5.00000e-03
-1.11437e-03,-6.72740e-03,2.96525e-03,-1.12373e-22,1,1.07000e-01,5.75660e-01,7.56604e-02,5.00000e-03
-1.11079e-03,-6.85234e-03,3.03457e-03,-1.12371e-22,1,1.08000e-01,5.76368e-01,7.63675e-02,5.00000e-03
-1.10721e-03,-6.97729e-03,3.10389e-03,-1.12372e-22,1,1.09000e-01,5.77075e-01,7.70746e-02,5.00000e-03
-1.10364e-03,-7.10223e-03,3.17321e-03,-1.12372e-22,1,1.10000e-01,5.77782e-01,7.77817e-02,5.00000e-03
-1.10006e-03,-7.22717e-03,3.24254e-03,-1.12373e-22,1,1.11000e-01,5.78489e-01,7.84888e-02,5.00000e-03
-1.09648e-03,-7.35212e-03,3.31186e-03,-1.12371e-22,1,1.12000e-01,5.79196e-01,7.91960e-02,5.00000e-03
-1.09290e-03,-7.47707e-03,3.38118e-03,-1.12372e-22,1,1.13000e-01,5.79903e-01,7.99031e-02,5.00000e-03
-1.08932e-03,-7.60201e-03,3.45050e-03,-1.12373e-22,1,1.14000e-01,5.80610e-01,8.06102e-02,5.00000e-03
-1.08574e-03,-7.72696e-03,3.51983e-03,-1.12371e-22,1,1.15000e-01,5.81317e-01,8.13173e-02,5.00000e-03
-1.08216e-03,-7.85190e-03,3.58915e-03,-1.12372e-22,1,1.16000e-01,5.82024e-01,8.20244e-02,5.00000e-03
-1.07859e-03,-7.97684e-03,3.65847e-03,-1.12372e-22,1,1.17000e-01,5.82731e-01,8.27315e-02,5.00000e-03
-1.07501e-03,-8.10179e-03,3.72779e-03,-1.12373e-22,1,1.18000e-01,5.83439e-01,8.34386e-02,5.00000e-03
-1.07143e-03,-8.22674e-03,3.79711e-03,-1.12371e-22,1,1.19000e-01,5.84146e-01,8.41457e-02,5.00000e-03
-1.06785e-03,-8.35168e-03,3.86644e-03,-1.12372e-22,1,1.20000e-01,5.84853e-01,8.48528e-02,5.00000e-03
-1.06427e-03,-8.47662e-03,3.93576e-03,-1.12373e-22,1,1.21000e-01,5.85560e-01,8.55599e-02,5.00000e-03
-1.06069e-03,-8.60157e-03,4.00508e-03,-1.12371e-22,1,1.22000e-01,5.86267e-01,8.62670e-02,5.00000e-03
-1.05712e-03,-8.72651e-03,4.07440e-03,-1.12371e-22,1,1.23000e-01,5.86974e-01,8.69741e-02,5.00000e-03
-1.05354e-03,-8.85146e-03,4.14373e-03,-1.12372e-22,1,1.24000e-01,5.87681e-01,8.76812e-02,5.00000e-03
-1.04996e-03,-8.97640e-03,4.21305e-03,-1.12373e-22,1,1.25000e-01,5.88388e-01,8.83883e-02,5.00000e-03
-1.04595e-03,-9.12721e-03,4.30393e-03,-1.07876e-22,1,1.26000e-01,5.89095e-01,8.90955e-02,5.00000e-03
-1.04194e-03,-9.27802e-03,4.39482e-03,-1.03382e-22,1,1.27000e-01,5.89803e-01,8.98026e-02,5.00000e-03
-1.03792e-03,-9.42882e-03,4.48571e-03,-9.88878e-23,1,1.28000e-01,5.90510e-01,9.05097e-02,5.00000e-03
-1.03391e-03,-9.57963e-03,4.57659e-03,-9.43915e-23,1,1.29000e-01,5.91217e-01,9.12168e-02,5.00000e-03
-1.02990e-03,-9.73044e-03,4.66748e-03,-8.98971e-23,1,1.30000e-01,5.91924e-01,9.19239e-02,5.00000e-03
-1.02589e-03,-9.88124e-03,4.75837e-03,-8.54029e-23,1,1.31000e-01,5.92631e-01,9.26310e-02,5.00000e-03
