p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.51126e-04,-1.54454e-04,-1.41569e-04,2.09287e-22,1,0.00000e+00,3.53553e-01,3.53553e-01,5.00000e-03
-1.51224e-04,-1.70971e-04,-1.63132e-04,1.91666e-22,1,9.99987e-04,3.54553e-01,3.53553e-01,5.00000e-03
-1.51321e-04,-1.87489e-04,-1.84695e-04,1.74045e-22,1,2.00000e-03,3.55553e-01,3.53553e-01,5.00000e-03
-1.51418e-04,-2.04006e-04,-2.06258e-04,1.56425e-22,1,2.99999e-03,3.56553e-01,3.53553e-01,5.00000e-03
-1.51516e-04,-2.20524e-04,-2.27821e-04,1.38804e-22,1,4.00001e-03,3.57553e-01,3.53553e-01,5.00000e-03
-1.51613e-04,-2.37041e-04,-2.49384e-04,1.21183e-22,1,5.00000e-03,3.58553e-01,3.53553e-01,5.00000e-03
-1.51710e-04,-2.53559e-04,-2.70947e-04,1.03562e-22,1,6.00001e-03,3.59553e-01,3.53553e-01,5.00000e-03
-1.51807e-04,-2.70076e-04,-2.92509e-04,8.59413e-23,1,7.00000e-03,3.60553e-01,3.53553e-01,5.00000e-03
-1.51905e-04,-2.86594e-04,-3.14072e-04,6.83207e-23,1,7.99999e-03,3.61553e-01,3.53553e-01,5.00000e-03
-1.52002e-04,-3.03111e-04,-3.35635e-04,5.06996e-23,1,9.00000e-03,3.62553e-01,3.53553e-01,5.00000e-03
-1.52099e-04,-3.19629e-04,-3.57198e-04,3.30790e-23,1,9.99999e-03,3.63553e-01,3.53553e-01,5.00000e-03
-1.52197e-04,-3.36146e-04,-3.78761e-04,1.54579e-23,1,1.10000e-02,3.64553e-01,3.53553e-01,5.00000e-03
-1.52294e-04,-3.52664e-04,-4.00324e-04,-2.16266e-24,1,1.20000e-02,3.65553e-01,3.53553e-01,5.00000e-03
-1.52355e-04,-3.79714e-04,-4.38073e-04,-1.51247e-23,1,1.30000e-02,3.66553e-01,3.53553e-01,5.00000e-03
-1.52379e-04,-4.17297e-04,-4.92008e-04,-2.34270e-23,1,1.40000e-02,3.67553e-01,3.53553e-01,5.00000e-03
-1.52404e-04,-4.54879e-04,-5.45942e-04,-3.17294e-23,1,1.50000e-02,3.68553e-01,3.53553e-01,5.00000e-03
-1.52428e-04,-4.92463e-04,-5.99878e-04,-4.00320e-23,1,1.60000e-02,3.69553e-01,3.53553e-01,5.00000e-03
-1.52453e-04,-5.30046e-04,-6.53813e-04,-4.83343e-23,1,1.70000e-02,3.70553e-01,3.53553e-01,5.00000e-03
-1.52477e-04,-5.67629e-04,-7.07749e-04,-5.66370e-23,1,1.80000e-02,3.71553e-01,3.53553e-01,5.00000e-03
-1.52502e-04,-6.05212e-04,-7.61684e-04,-6.49393e-23,1,1.90000e-02,3.72553e-01,3.53553e-01,5.00000e-03
-1.52527e-04,-6.42795e-04,-8.15620e-04,-7.32419e-23,1,2.00000e-02,3.73553e-01,3.53553e-01,5.00000e-03
-1.52551e-04,-6.80378e-04,-8.69554e-04,-8.15443e-23,1,2.10000e-02,3.74553e-01,3.53553e-01,5.00000e-03
-1.52576e-04,-7.17962e-04,-9.23491e-04,-8.98469e-23,1,2.20000e-02,3.75553e-01,3.53553e-01,5.00000e-03
-1.52600e-04,-7.55544e-04,-9.77425e-04,-9.81492e-23,1,2.30000e-02,3.76553e-01,3.53553e-01,5.00000e-03
-1.52625e-04,-7.93127e-04,-1.03136e-03,-1.06452e-22,1,2.40000e-02,3.77553e-01,3.53553e-01,5.00000e-03
-1.52649e-04,-8.30711e-04,-1.08530e-03,-1.14754e-22,1,2.50000e-02,3.78553e-01,3.53553e-01,5.00000e-03
-1.52419e-04,-8.76489e-04,-1.16240e-03,-1.04798e-22,1,2.60000e-02,3.79553e-01,3.53553e-01,5.00000e-03
-1.52189e-04,-9.22269e-04,-1.23950e-03,-9.48416e-23,1,2.70000e-02,3.80553e-01,3.53553e-01,5.00000e-03
-1.51958e-04,-9.68047e-04,-1.31660e-03,-8.48854e-23,1,2.80000e-02,3.81553e-01,3.53553e-01,5.00000e-03
-1.51728e-04,-1.01383e-03,-1.39371e-03,-7.49290e-23,1,2.90000e-02,3.82553e-01,3.53553e-01,5.00000e-03
-1.51498e-04,-1.05961e-03,-1.47081e-03,-6.49728e-23,1,3.00000e-02,3.83553e-01,3.53553e-01,5.00000e-03
-1.51267e-04,-1.10538e-03,-1.54791e-03,-5.50166e-23,1,3.10000e-02,3.84553e-01,3.53553e-01,5.00000e-03
-1.51037e-04,-1.15116e-03,-1.62502e-03,-4.50602e-23,1,3.20000e-02,3.85553e-01,3.53553e-01,5.00000e-03
