p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.55175e-04,-3.41773e-04,-2.70709e-04,0.00000e+00,1,0.00000e+00,3.53553e-01,3.53553e-01,5.00000e-03
-1.55207e-04,-3.64200e-04,-3.04316e-04,0.00000e+00,1,9.99987e-04,3.54553e-01,3.53553e-01,5.00000e-03
-1.55239e-04,-3.86627e-04,-3.37924e-04,0.00000e+00,1,2.00000e-03,3.55553e-01,3.53553e-01,5.00000e-03
-1.55271e-04,-4.09053e-04,-3.71531e-04,0.00000e+00,1,2.99999e-03,3.56553e-01,3.53553e-01,5.00000e-03
-1.55302e-04,-4.31480e-04,-4.05140e-04,0.00000e+00,1,4.00001e-03,3.57553e-01,3.53553e-01,5.00000e-03
-1.55334e-04,-4.53907e-04,-4.38747e-04,0.00000e+00,1,5.00000e-03,3.58553e-01,3.53553e-01,5.00000e-03
-1.55366e-04,-4.76334e-04,-4.72355e-04,0.00000e+00,1,6.00001e-03,3.59553e-01,3.53553e-01,5.00000e-03
-1.55398e-04,-4.98760e-04,-5.05963e-04,0.00000e+00,1,7.00000e-03,3.60553e-01,3.53553e-01,5.00000e-03
-1.55430e-04,-5.21186e-04,-5.39570e-04,0.00000e+00,1,7.99999e-03,3.61553e-01,3.53553e-01,5.00000e-03
-1.55462e-04,-5.43613e-04,-5.73178e-04,0.00000e+00,1,9.00000e-03,3.62553e-01,3.53553e-01,5.00000e-03
-1.55494e-04,-5.66040e-04,-6.06785e-04,0.00000e+00,1,9.99999e-03,3.63553e-01,3.53553e-01,5.00000e-03
-1.55526e-04,-5.88467e-04,-6.40394e-04,0.00000e+00,1,1.10000e-02,3.64553e-01,3.53553e-01,5.00000e-03
-1.55558e-04,-6.10893e-04,-6.74001e-04,0.00000e+00,1,1.20000e-02,3.65553e-01,3.53553e-01,5.00000e-03
-1.55590e-04,-6.33320e-04,-7.07609e-04,0.00000e+00,1,1.30000e-02,3.66553e-01,3.53553e-01,5.00000e-03
-1.55622e-04,-6.55746e-04,-7.41216e-04,0.00000e+00,1,1.40000e-02,3.67553e-01,3.53553e-01,5.00000e-03
-1.55653e-04,-6.78173e-04,-7.74824e-04,0.00000e+00,1,1.50000e-02,3.68553e-01,3.53553e-01,5.00000e-03
-1.55685e-04,-7.00600e-04,-8.08432e-04,0.00000e+00,1,1.60000e-02,3.69553e-01,3.53553e-01,5.00000e-03
-1.55717e-04,-7.23026e-04,-8.42039e-04,0.00000e+00,1,1.70000e-02,3.70553e-01,3.53553e-01,5.00000e-03
-1.55749e-04,-7.45453e-04,-8.75647e-04,0.00000e+00,1,1.80000e-02,3.71553e-01,3.53553e-01,5.00000e-03
-1.55781e-04,-7.67879e-04,-9.09255e-04,0.00000e+00,1,1.90000e-02,3.72553e-01,3.53553e-01,5.00000e-03
-1.55813e-04,-7.90306e-04,-9.42863e-04,0.00000e+00,1,2.00000e-02,3.73553e-01,3.53553e-01,5.00000e-03
-1.55845e-04,-8.12733e-04,-9.76470e-04,0.00000e+00,1,2.10000e-02,3.74553e-01,3.53553e-01,5.00000e-03
