p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-4.97586e-07,-2.27299e-06,8.84948e-07,-5.88307e-26,1,4.60023e-02,5.44433e-01,1.19057e-02,4.60000e-04
-5.02034e-07,-2.45400e-06,9.43276e-07,-4.41230e-26,1,4.70024e-02,5.45399e-01,1.21645e-02,4.70000e-04
-5.06481e-07,-2.63500e-06,1.00160e-06,-2.94154e-26,1,4.80024e-02,5.46364e-01,1.24233e-02,4.80000e-04
-5.10929e-07,-2.81601e-06,1.05993e-06,-1.47077e-26,1,4.90025e-02,5.47330e-01,1.26821e-02,4.90000e-04
-5.15376e-07,-2.99700e-06,1.11826e-06,0.00000e+00,1,5.00025e-02,5.48296e-01,1.29410e-02,5.00000e-04
-5.15413e-07,-3.30664e-06,1.22392e-06,0.00000e+00,1,5.10026e-02,5.49262e-01,1.31998e-02,5.10000e-04
-5.15450e-07,-3.61626e-06,1.32958e-06,0.00000e+00,1,5.20026e-02,5.50228e-01,1.34586e-02,5.20000e-04
-5.15487e-07,-3.92589e-06,1.43525e-06,0.00000e+00,1,5.30027e-02,5.51194e-01,1.37174e-02,5.30000e-04
-5.15524e-07,-4.23552e-06,1.54091e-06,0.00000e+00,1,5.40027e-02,5.52160e-01,1.39762e-02,5.40000e-04
-5.15561e-07,-4.54515e-06,1.64658e-06,0.00000e+00,1,5.50027e-02,5.53126e-01,1.42350e-02,5.50000e-04
-5.15598e-07,-4.85479e-06,1.75224e-06,0.00000e+00,1,5.60028e-02,5.54092e-01,1.44939e-02,5.60000e-04
-5.15634e-07,-5.16441e-06,1.85790e-06,0.00000e+00,1,5.70028e-02,5.55058e-01,1.47527e-02,5.70000e-04
-5.15671e-07,-5.47405e-06,1.96357e-06,0.00000e+00,1,5.80029e-02,5.56024e-01,1.50115e-02,5.80000e-04
-5.15708e-07,-5.78367e-06,2.06923e-06,0.00000e+00,1,5.90029e-02,5.56990e-01,1.52703e-02,5.90000e-04
-5.15745e-07,-6.09330e-06,2.17489e-06,0.00000e+00,1,6.00030e-02,5.57956e-01,1.55291e-02,6.00000e-04
-5.15782e-07,-6.40292e-06,2.28056e-06,0.00000e+00,1,6.10030e-02,5.58921e-01,1.57880e-02,6.10000e-04
-5.15819e-07,-6.71256e-06,2.38622e-06,0.00000e+00,1,6.20031e-02,5.59887e-01,1.60468e-02,6.20000e-04
-5.12777e-07,-7.09359e-06,2.51986e-06,0.00000e+00,1,6.30031e-02,5.60853e-01,1.63056e-02,6.30000e-04
-5.06657e-07,-7.54605e-06,2.68149e-06,0.00000e+00,1,6.40032e-02,5.61819e-01,1.65644e-02,6.40000e-04
-5.00538e-07,-7.99849e-06,2.84311e-06,0.00000e+00,1,6.50032e-02,5.62785e-01,1.68232e-02,6.50000e-04
-4.94418e-07,-8.45095e-06,3.00474e-06,0.00000e+00,1,6.60033e-02,5.63751e-01,1.70821e-02,6.60000e-04
-4.88298e-07,-8.90341e-06,3.16636e-06,0.00000e+00,1,6.70034e-02,5.64717e-01,1.73409e-02,6.70000e-04
-4.82178e-07,-9.35585e-06,3.32798e-06,0.00000e+00,1,6.80034e-02,5.65683e-01,1.75997e-02,6.80000e-04
-4.76058e-07,-9.80830e-06,3.48961e-06,0.00000e+00,1,6.90035e-02,5.66649e-01,1.78585e-02,6.90000e-04
-4.69939e-07,-1.02607e-05,3.65123e-06,0.00000e+00,1,7.00035e-02,5.67615e-01,1.81173e-02,7.00000e-04
-4.63819e-07,-1.07132e-05,3.81286e-06,0.00000e+00,1,7.10036e-02,5.68581e-01,1.83762e-02,7.10000e-04
-4.57699e-07,-1.11656e-05,3.97448e-06,0.00000e+00,1,7.20036e-02,5.69547e-01,1.86350e-02,7.20000e-04
-4.51579e-07,-1.16181e-05,4.13610e-06,0.00000e+00,1,7.30037e-02,5.70513e-01,1.88938e-02,7.30000e-04
-4.45460e-07,-1.20705e-05,4.29773e-06,0.00000e+00,1,7.40037e-02,5.71478e-01,1.91526e-02,7.40000e-04
-4.39340e-07,-1.25230e-05,4.45935e-06,0.00000e+00,1,7.50038e-02,5.72444e-01,1.94114e-02,7.50000e-04
-4.25509e-07,-1.31122e-05,4.67346e-06,-3.96982e-32,1,7.60038e-02,5.73410e-01,1.96702e-02,7.60000e-04
-4.11677e-07,-1.37014e-05,4.88756e-06,-8.52202e-33,1,7.70038e-02,5.74376e-01,1.99291e-02,7.70000e-04
-3.97846e-07,-1.42906e-05,5.10167e-06,-3.07672e-31,1,7.80039e-02,5.75342e-01,2.01879e-02,7.80000e-04
-3.84015e-07,-1.48797e-05,5.31578e-06,-3.40881e-32,1,7.90039e-02,5.76308e-01,2.04467e-02,7.90000e-04
-3.70184e-07,-1.54689e-05,5.52988e-06,-4.42702e-31,1,8.00040e-02,5.77274e-01,2.07055e-02,8.00000e-04
-3.56353e-07,-1.60581e-05,5.74399e-06,-7.66982e-32,1,8.10040e-02,5.78240e-01,2.09643e-02,8.10000e-04
-3.42522e-07,-1.66473e-05,5.95809e-06,-5.21663e-31,1,8.20041e-02,5.79206e-01,2.12232e-02,8.20000e-04
-3.28691e-07,-1.72365e-05,6.17220e-06,-1.36352e-31,1,8.30041e-02,5.80172e-01,2.14820e-02,8.30000e-04
-3.14859e-07,-1.78257e-05,6.38631e-06,-5.44556e-31,1,8.40042e-02,5.81138e-01,2.17408e-02,8.40000e-04
-3.01029e-07,-1.84148e-05,6.60041e-06,-1.34575e-31,1,8.50042e-02,5.82104e-01,2.19996e-02,8.50000e-04
-2.87197e-07,-1.90040e-05,6.81452e-06,-5.11380e-31,1,8.60043e-02,5.83070e-01,2.22584e-02,8.60000e-04
-2.73365e-07,-1.95932e-05,7.02863e-06,-1.95676e-30,1,8.70044e-02,5.84036e-01,2.25173e-02,8.70000e-04
-2.55108e-07,-2.02337e-05,7.25696e-06,9.36673e-32,1,8.80044e-02,5.85001e-01,2.27761e-02,8.80000e-04
-2.32423e-07,-2.09256e-05,7.49951e-06,-1.56978e-30,1,8.90045e-02,5.85967e-01,2.30349e-02,8.90000e-04
-2.09740e-07,-2.16174e-05,7.74207e-06,1.96188e-32,1,9.00045e-02,5.86933e-01,2.32937e-02,9.00000e-04
-1.87055e-07,-2.23092e-05,7.98463e-06,-1.00349e-30,1,9.10046e-02,5.87899e-01,2.35525e-02,9.10000e-04
-1.64371e-07,-2.30011e-05,8.22718e-06,-1.52524e-31,1,9.20046e-02,5.88865e-01,2.38114e-02,9.20000e-04
-1.41687e-07,-2.36929e-05,8.46974e-06,1.32905e-31,1,9.30047e-02,5.89831e-01,2.40702e-02,9.30000e-04
-1.19003e-07,-2.43847e-05,8.71229e-06,-3.24666e-31,1,9.40047e-02,5.90797e-01,2.43290e-02,9.40000e-04
-9.63183e-08,-2.50766e-05,8.95485e-06,-3.92376e-32,1,9.50048e-02,5.91763e-01,2.45878e-02,9.50000e-04
-7.36346e-08,-2.57684e-05,9.19741e-06,-4.96808e-31,1,9.60048e-02,5.92729e-01,2.48466e-02,9.60000e-04
-5.09499e-08,-2.64602e-05,9.43996e-06,-1.13286e-31,1,9.70049e-02,5.93695e-01,2.51054e-02,9.70000e-04
-2.82652e-08,-2.71521e-05,9.68253e-06,1.72142e-31,1,9.80049e-02,5.94661e-01,2.53643e-02,9.80000e-04
-5.58155e-09,-2.78439e-05,9.92508e-06,-2.85428e-31,1,9.90049e-02,5.95627e-01,2.56231e-02,9.90000e-04
1.71032e-08,-2.85358e-05,1.01676e-05,0.00000e+00,1,1.00005e-01,5.96593e-01,2.58819e-02,1.00000e-03
4.91610e-08,-2.92614e-05,1.03846e-05,-3.66280e-31,1,1.01005e-01,5.97558e-01,2.61407e-02,1.01000e-03
8.12199e-08,-2.99872e-05,1.06015e-05,3.76582e-32,1,1.02005e-01,5.98524e-01,2.63995e-02,1.02000e-03
1.13278e-07,-3.07128e-05,1.08184e-05,-3.43059e-31,1,1.03005e-01,5.99490e-01,2.66584e-02,1.03000e-03
1.45337e-07,-3.14386e-05,1.10354e-05,-5.73325e-33,1,1.04005e-01,6.00456e-01,2.69172e-02,1.04000e-03
1.77394e-07,-3.21642e-05,1.12523e-05,-3.02793e-31,1,1.05005e-01,6.01422e-01,2.71760e-02,1.05000e-03
2.09454e-07,-3.28900e-05,1.14692e-05,-3.20807e-32,1,1.06005e-01,6.02388e-01,2.74348e-02,1.06000e-03
2.41511e-07,-3.36156e-05,1.16862e-05,-2.45484e-31,1,1.07005e-01,6.03354e-01,2.76936e-02,1.07000e-03
2.73570e-07,-3.43414e-05,1.19031e-05,-4.13843e-32,1,1.08005e-01,6.04320e-01,2.79525e-02,1.08000e-03
3.05630e-07,-3.50671e-05,1.21200e-05,-3.02126e-31,1,1.09005e-01,6.05286e-01,2.82113e-02,1.09000e-03
3.37687e-07,-3.57928e-05,1.23370e-05,-3.36438e-32,1,1.10005e-01,6.06252e-01,2.84701e-02,1.10000e-03
3.69746e-07,-3.65185e-05,1.25539e-05,-1.08457e-31,1,1.11006e-01,6.07218e-01,2.87289e-02,1.11000e-03
4.01804e-07,-3.72442e-05,1.27708e-05,-8.85924e-33,1,1.12006e-01,6.08184e-01,2.89877e-02,1.12000e-03
4.38399e-07,-3.79327e-05,1.29281e-05,1.96725e-26,1,1.13006e-01,6.09150e-01,2.92466e-02,1.13000e-03
4.79527e-07,-3.85839e-05,1.30258e-05,5.90177e-26,1,1.14006e-01,6.10116e-01,2.95054e-02,1.14000e-03
