p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
6.99457e-05,9.91534e-04,-2.71893e-05,0.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,5.00000e-03
6.90929e-05,1.04445e-03,-3.65136e-05,0.00000e+00,1,9.99988e-04,5.00707e-01,7.07107e-04,5.00000e-03
6.82401e-05,1.09737e-03,-4.58379e-05,0.00000e+00,1,2.00002e-03,5.01414e-01,1.41421e-03,5.00000e-03
6.73873e-05,1.15029e-03,-5.51622e-05,0.00000e+00,1,3.00001e-03,5.02121e-01,2.12132e-03,5.00000e-03
6.65345e-05,1.20320e-03,-6.44864e-05,0.00000e+00,1,3.99999e-03,5.02828e-01,2.82843e-03,5.00000e-03
6.56816e-05,1.25612e-03,-7.38107e-05,0.00000e+00,1,4.99998e-03,5.03536e-01,3.53553e-03,5.00000e-03
6.48288e-05,1.30904e-03,-8.31350e-05,0.00000e+00,1,6.00001e-03,5.04243e-01,4.24264e-03,5.00000e-03
6.39760e-05,1.36195e-03,-9.24593e-05,0.00000e+00,1,7.00000e-03,5.04950e-01,4.94975e-03,5.00000e-03
6.31232e-05,1.41487e-03,-1.01784e-04,0.00000e+00,1,7.99999e-03,5.05657e-01,5.65685e-03,5.00000e-03
6.22703e-05,1.46779e-03,-1.11108e-04,0.00000e+00,1,9.00002e-03,5.06364e-01,6.36396e-03,5.00000e-03
6.14176e-05,1.52071e-03,-1.20432e-04,0.00000e+00,1,1.00000e-02,5.07071e-01,7.07107e-03,5.00000e-03
6.05647e-05,1.57362e-03,-1.29756e-04,0.00000e+00,1,1.10000e-02,5.07778e-01,7.77817e-03,5.00000e-03
5.97119e-05,1.62654e-03,-1.39081e-04,0.00000e+00,1,1.20000e-02,5.08485e-01,8.48528e-03,5.00000e-03
5.88591e-05,1.67946e-03,-1.48405e-04,0.00000e+00,1,1.30000e-02,5.09192e-01,9.19239e-03,5.00000e-03
5.80063e-05,1.73237e-03,-1.57729e-04,0.00000e+00,1,1.40000e-02,5.09899e-01,9.89950e-03,5.00000e-03
5.71535e-05,1.78529e-03,-1.67053e-04,0.00000e+00,1,1.50000e-02,5.10607e-01,1.06066e-02,5.00000e-03
5.63006e-05,1.83821e-03,-1.76378e-04,0.00000e+00,1,1.60000e-02,5.11314e-01,1.13137e-02,5.00000e-03
5.54478e-05,1.89113e-03,-1.85702e-04,0.00000e+00,1,1.70000e-02,5.12021e-01,1.20208e-02,5.00000e-03
5.45950e-05,1.94404e-03,-1.95026e-04,0.00000e+00,1,1.80000e-02,5.12728e-01,1.27279e-02,5.00000e-03
