x,Uy
0.48,0
0.545462913,-0.00000144
0.607962913,-0.00007221
0.670462913,-0.0004017
0.732962913,-0.0003705
0.795462913,0.005307
0.857962913,0.03201
0.920462913,0.09001
0.982962913,0.1222
1.045462913,0.07313
1.107962913,0.001657
1.170462913,-0.04738
1.232962913,-0.07167
1.295462913,-0.07836
1.357962913,-0.0715
1.420462913,-0.0489
1.482962913,0
