p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.09085e-04,3.37814e-03,-1.50749e-03,-9.21311e-23,1,2.45012e-01,7.36652e-01,6.34107e-02,2.45000e-03
1.09052e-04,3.40978e-03,-1.51568e-03,-9.21310e-23,1,2.46012e-01,7.37618e-01,6.36695e-02,2.46000e-03
1.09019e-04,3.44142e-03,-1.52387e-03,-9.21310e-23,1,2.47012e-01,7.38584e-01,6.39283e-02,2.47000e-03
1.08986e-04,3.47305e-03,-1.53206e-03,-9.21310e-23,1,2.48012e-01,7.39550e-01,6.41871e-02,2.48000e-03
1.08953e-04,3.50469e-03,-1.54025e-03,-9.21310e-23,1,2.49012e-01,7.40516e-01,6.44459e-02,2.49000e-03
1.08920e-04,3.53633e-03,-1.54844e-03,-9.21310e-23,1,2.50012e-01,7.41481e-01,6.47048e-02,2.50000e-03
1.08030e-04,3.55092e-03,-1.53691e-03,-8.48108e-23,1,2.51013e-01,7.42447e-01,6.49636e-02,2.51000e-03
1.07140e-04,3.56550e-03,-1.52539e-03,-7.74905e-23,1,2.52013e-01,7.43413e-01,6.52224e-02,2.52000e-03
1.06250e-04,3.58008e-03,-1.51386e-03,-7.01702e-23,1,2.53013e-01,7.44379e-01,6.54812e-02,2.53000e-03
1.05360e-04,3.59466e-03,-1.50234e-03,-6.28499e-23,1,2.54013e-01,7.45345e-01,6.57400e-02,2.54000e-03
1.04469e-04,3.60924e-03,-1.49081e-03,-5.55295e-23,1,2.55013e-01,7.46311e-01,6.59989e-02,2.55000e-03
1.03579e-04,3.62383e-03,-1.47929e-03,-4.82092e-23,1,2.56013e-01,7.47277e-01,6.62577e-02,2.56000e-03
1.02689e-04,3.63841e-03,-1.46776e-03,-4.08889e-23,1,2.57013e-01,7.48243e-01,6.65165e-02,2.57000e-03
1.01799e-04,3.65299e-03,-1.45624e-03,-3.35687e-23,1,2.58013e-01,7.49209e-01,6.67753e-02,2.58000e-03
1.00909e-04,3.66757e-03,-1.44471e-03,-2.62484e-23,1,2.59013e-01,7.50175e-01,6.70341e-02,2.59000e-03
1.00019e-04,3.68216e-03,-1.43319e-03,-1.89281e-23,1,2.60013e-01,7.51141e-01,6.72930e-02,2.60000e-03
9.91285e-05,3.69674e-03,-1.42166e-03,-1.16078e-23,1,2.61013e-01,7.52107e-01,6.75518e-02,2.61000e-03
9.82384e-05,3.71132e-03,-1.41014e-03,-4.28756e-24,1,2.62013e-01,7.53073e-01,6.78106e-02,2.62000e-03
9.73482e-05,3.72590e-03,-1.39861e-03,3.03275e-24,1,2.63013e-01,7.54039e-01,6.80694e-02,2.63000e-03
9.64581e-05,3.74048e-03,-1.38709e-03,1.03530e-23,1,2.64013e-01,7.55004e-01,6.83282e-02,2.64000e-03
9.55679e-05,3.75507e-03,-1.37556e-03,1.76735e-23,1,2.65013e-01,7.55970e-01,6.85870e-02,2.65000e-03
9.46778e-05,3.76965e-03,-1.36404e-03,2.49937e-23,1,2.66013e-01,7.56936e-01,6.88459e-02,2.66000e-03
9.37876e-05,3.78423e-03,-1.35251e-03,3.23140e-23,1,2.67013e-01,7.57902e-01,6.91047e-02,2.67000e-03
9.28975e-05,3.79881e-03,-1.34098e-03,3.96342e-23,1,2.68013e-01,7.58868e-01,6.93635e-02,2.68000e-03
9.20073e-05,3.81339e-03,-1.32946e-03,4.69546e-23,1,2.69013e-01,7.59834e-01,6.96223e-02,2.69000e-03
9.11172e-05,3.82798e-03,-1.31793e-03,5.42748e-23,1,2.70013e-01,7.60800e-01,6.98811e-02,2.70000e-03
9.02270e-05,3.84256e-03,-1.30641e-03,6.15951e-23,1,2.71014e-01,7.61766e-01,7.01400e-02,2.71000e-03
8.93368e-05,3.85714e-03,-1.29488e-03,6.89155e-23,1,2.72014e-01,7.62732e-01,7.03988e-02,2.72000e-03
8.84467e-05,3.87172e-03,-1.28336e-03,7.62357e-23,1,2.73014e-01,7.63698e-01,7.06576e-02,2.73000e-03
8.75565e-05,3.88630e-03,-1.27183e-03,8.35560e-23,1,2.74014e-01,7.64664e-01,7.09164e-02,2.74000e-03
