timeData,vydata
0.0,-6.37552850052e-19
0.05,-0.040866665942
0.1,-0.0704760735759
0.15,-0.079317874714
0.2,-0.0617655816321
0.25,-0.017263039318
0.3,0.0493092197434
0.35,0.128124050246
0.4,0.20574932726
0.45,0.2671021493
0.5,0.297792084512
0.55,0.286432082139
0.6,0.226688069883
0.65,0.118651951765
0.7,-0.0305679477224
0.75,-0.207226866047
0.8,-0.392189196964
0.85,-0.563008303441
0.9,-0.696437815546
0.95,-0.771276066689
1.0,-0.770997211313
1.05,-0.68601081128
1.1,-0.515233673962
1.15,-0.266801998993
1.2,0.0421070272586
1.25,0.386415007882
1.3,0.735083786996
1.35,1.05369055285
1.4,1.30765401597
1.45,1.46562245896
1.5,1.50285747409
1.55,1.4043399277
1.6,1.16710038643
1.65,0.801574321586
1.7,0.331669368022
1.75,-0.206483214576
1.8,-0.767152863452
1.85,-1.29882250818
1.9,-1.74880947526
1.95,-2.06839403338
2.0,-2.21796920172
2.05,-2.17164755342
2.1,-1.92105308214
2.15,-1.47750305715
2.2,-0.872549945922
2.25,-0.156329727993
2.3,0.606152829147
2.35,1.3407749554
2.4,1.97150893924
2.45,2.4285118541
2.5,2.65622788189
2.55,2.62038841687
2.6,2.31317974712
2.65,1.75558215471
2.7,0.996555042368
2.75,0.108937380729
2.8,-0.817652313092
2.85,-1.68605173683
2.9,-2.40198024762
2.95,-2.88437283225
3.0,-3.07452805473
3.05,-2.94290556398
3.1,-2.49307265888
3.15,-1.76215604963
3.2,-0.817840513812
3.25,0.247825979002
3.3,1.32735636341
3.35,2.30856560659
3.4,3.0862339008
3.45,3.57336532385
3.5,3.71086723693
3.55,3.47450981193
3.6,2.87829414793
3.65,1.97371856689
3.7,0.845020915416
3.75,-0.3991257503
3.8,-1.63647958755
3.85,-2.74348322662
3.9,-3.60753724295
3.95,-4.13816682603
4.0,-4.27603137366
4.05,-3.99904901281
4.1,-3.32506077389
4.15,-2.31093454834
4.2,-1.04796272561
4.25,0.346069134316
4.3,1.73763998135
4.35,2.99007256376
4.4,3.97707902574
4.45,4.59562110432
4.5,4.77698890493
4.55,4.49474058448
4.6,3.76851363479
4.65,2.66310074937
4.7,1.28272303075
4.75,-0.239036090227
4.8,-1.75251937698
4.85,-3.1072709216
4.9,-4.16736276584
4.95,-4.82537590692
5.0,-5.01341054895
5.05,-4.71013221052
5.1,-3.94308551933
5.15,-2.78618935208
5.2,-1.35259411978
5.25,0.216332120341
5.3,1.76487354071
5.35,3.13834608339
5.4,4.19855785088
5.45,4.83772951361
5.5,4.98953237368
5.55,4.63609691198
5.6,3.81013368691
5.65,2.59200926024
5.7,1.10177126116
5.75,-0.512721651917
5.8,-2.090655274
5.85,-3.47412171261
5.9,-4.52375317779
5.95,-5.13225234073
6.0,-5.23478823112
6.05,-4.81532909199
6.1,-3.90840621427
6.15,-2.59617211693
6.2,-1.00112843923
6.25,0.725082697274
6.3,2.4157559833
6.35,3.90492844003
6.4,5.04354184235
6.45,5.71442441129
6.5,5.84445519346
6.55,5.41266759412
6.6,4.45319549433
6.65,3.05255774934
6.7,1.34156173786
6.75,-0.517479740138
6.8,-2.34663737884
6.85,-3.96966121173
6.9,-5.22895536162
6.95,-6.00036194332
7.0,-6.20494511843
7.05,-5.8164183791
7.1,-4.86417414191
7.15,-3.43138367658
7.2,-1.64835429701
7.25,0.318682125722
7.3,2.2824868755
7.35,4.05242910326
7.4,5.45314427713
7.45,6.34244257518
7.5,6.62637268591
7.55,6.2696956359
7.6,5.30053911699
7.65,3.80829266211
7.7,1.93513216714
7.75,-0.138064366653
7.8,-2.20968677848
7.85,-4.0773285758
7.9,-5.55758000008
7.95,-6.50374794029
