timeData,vydata
0.0,-8.0117254e-21
0.05,-0.00051354567
0.1,-0.00088562846
0.15,-0.00099673781
0.2,-0.00077616919
0.25,-0.00021693375
0.3,0.00061963793
0.35,0.0016100543
0.4,0.0025855223
0.45,0.0033565046
0.5,0.0037421657
0.55,0.0035994117
0.6,0.0028486463
0.65,0.0014910244
0.7,-0.00038412816
0.75,-0.0026040896
0.8,-0.0049283948
0.85,-0.007074971
0.9,-0.0087516957
0.95,-0.0096921409
1.0,-0.0096886367
1.05,-0.0086206661
1.1,-0.0064746173
1.15,-0.0033527328
1.2,0.00052913251
1.25,0.0048558342
1.3,0.0092373353
1.35,0.013241066
1.4,0.016432465
1.45,0.018417555
1.5,0.018885464
1.55,0.017647456
1.6,0.014666216
1.65,0.01007288
1.7,0.0041678802
1.75,-0.0025947446
1.8,-0.0096403272
1.85,-0.016321485
1.9,-0.021976188
1.95,-0.025992206
2.0,-0.027871823
2.05,-0.027289728
2.1,-0.024140665
2.15,-0.018566851
2.2,-0.010964786
2.25,-0.0019644973
2.3,0.0076171411
2.35,0.016848675
2.4,0.024774712
2.45,0.03051758
2.5,0.033379144
2.55,0.032928772
2.6,0.029068274
2.65,0.022061296
2.7,0.01252308
2.75,0.0013689475
2.8,-0.010274922
2.85,-0.021187551
2.9,-0.030184174
2.95,-0.036246098
3.0,-0.038635659
3.05,-0.036981642
3.1,-0.031328875
3.15,-0.022143906
3.2,-0.010277287
3.25,0.0031142731
3.3,0.016680052
3.35,0.029010291
3.4,0.038782759
3.45,0.044904233
3.5,0.046632133
3.55,0.043661978
3.6,0.036169711
3.65,0.024802479
3.7,0.010618846
3.75,-0.0050155621
3.8,-0.020564609
3.85,-0.034475627
3.9,-0.04533365
3.95,-0.052001738
4.0,-0.053734195
4.05,-0.050253532
4.1,-0.041783946
4.15,-0.02904006
4.2,-0.013169088
4.25,0.004348833
4.3,0.021835828
4.35,0.03757436
4.4,0.049977449
4.45,0.057750278
4.5,0.060029413
4.55,0.056482576
4.6,0.047356539
4.65,0.033465511
4.7,0.016119173
4.75,-0.0030038161
4.8,-0.022022808
4.85,-0.039047118
4.9,-0.052368625
4.95,-0.060637462
5.0,-0.063000375
5.05,-0.059189267
5.1,-0.049550274
5.15,-0.035012288
5.2,-0.016997199
5.25,0.0027185096
5.3,0.022178055
5.35,0.03943762
5.4,0.052760634
5.45,0.060792702
5.5,0.062700313
5.55,0.058258912
5.6,0.047879552
5.65,0.032572149
5.7,0.013845266
5.75,-0.0064430503
5.8,-0.026271949
5.85,-0.043657101
