time,totKE,totPow,totDis,ilw0
0.0,1.163863800070735e-37,1.3047199999999999e-33,0.0,0.62832
0.05,0.003727608643734115,0.11328599999999998,0.0,0.62832
0.1,0.013528128736023867,0.239225,0.0,0.62832
0.15,0.025910101214529573,0.35336999999999996,0.0,0.62832
0.2,0.03697924523719172,0.44938500000000003,0.0,0.62832
0.25,0.0442675697632137,0.5271979999999999,0.0,0.62832
0.3,0.04772122063058699,0.585754,0.0,0.62832
0.35,0.04936717291996048,0.619563,0.0,0.62832
0.4,0.05189960515256661,0.620621,0.0,0.62832
0.45,0.05701758856938456,0.584845,0.0,0.62832
0.5,0.06445313897857663,0.517962,0.0,0.62832
0.55,0.07223570869791245,0.436454,0.0,0.62832
0.6,0.07803541596077017,0.361743,0.0,0.62832
0.65,0.0808137760731286,0.310566,0.0,0.62832
0.7,0.08180355307796122,0.28677800000000003,0.0,0.62832
0.75,0.08416762212831541,0.279542,0.0,0.62832
0.8,0.09137341928661784,0.269169,0.0,0.62832
0.85,0.10504943559517436,0.314633,0.0,0.62832
0.9,0.1234587364772592,0.351152,0.0,0.62832
0.95,0.1415520806887206,0.370039,0.0,0.62832
1.0,0.15287762933937557,0.372952,0.0,0.62832
1.05,0.15270467109210584,0.371218,0.0,0.62832
1.1,0.14099313697995622,0.382556,0.0,0.62832
1.15,0.1236669848238656,0.424472,0.0,0.62832
1.2,0.11119322132656445,0.5066390000000001,0.0,0.62832
1.25,0.11459246662412706,0.625106,0.0,0.62832
1.3,0.14026472727333567,0.760821,0.0,0.62832
1.35,0.18587037996973071,0.883983,0.0,0.62832
1.4,0.23941942966108434,0.963616,0.0,0.62832
1.45,0.2826516393744889,0.9794700000000001,0.0,0.62832
1.5,0.2979789382478395,0.932005,0.0,0.62832
1.55,0.2764777100165821,0.845931,0.0,0.62832
1.6,0.223485582205385,0.764683,0.0,0.62832
1.65,0.15886904271477562,0.736545,0.0,0.62832
1.7,0.11096604131208475,0.796601,0.0,0.62832
1.75,0.10587323885156431,0.9512809999999999,0.0,0.62832
1.8,0.15606972910593608,1.17155,0.0,0.62832
1.85,0.25322300497453476,1.3996600000000001,0.0,0.62832
1.9,0.36882197464015926,1.56784,0.0,0.62832
1.95,0.4633645183682487,1.6234899999999999,0.0,0.62832
2.0,0.5012315301668779,1.55167,0.0,0.62832
2.05,0.46563631851304554,1.38517,0.0,0.62832
2.1,0.3674379410568,1.19723,0.0,0.62832
2.15,0.2435200656829629,1.07707,0.0,0.62832
2.2,0.14443998715110318,1.09712,0.0,0.62832
2.25,0.11540744735568284,1.28318,0.0,0.62832
2.3,0.17779611552306537,1.6005,0.0,0.62832
2.35,0.31871187160812203,1.9622400000000002,0.0,0.62832
2.4,0.493471384364829,2.25857,0.0,0.62832
2.45,0.6409619432799447,2.3963900000000002,0.0,0.62832
2.5,0.7066658589563646,2.33459,0.0,0.62832
2.55,0.6646632886417215,2.10107,0.0,0.62832
2.6,0.5297999683955013,1.78485,0.0,0.62832
2.6500000000000004,0.3545129421747516,1.50516,0.0,0.62832
2.7,0.2105881537134433,1.36861,0.0,0.62832
2.7499999999999996,0.16213742056063152,1.43021,0.0,0.62832
2.8,0.2399487811511341,1.6725599999999998,0.0,0.62832
2.85,0.42744030005914224,2.01245,0.0,0.62832
2.9,0.6644243452607963,2.33259,0.0,0.62832
2.9499999999999997,0.8681970985398488,2.52694,0.0,0.62832
3.0,0.9645776682750555,2.54219,0.0,0.62832
3.0500000000000003,0.9172429845137651,2.39855,0.0,0.62832
3.1,0.743716787207834,2.18166,0.0,0.62832
3.15,0.5111348142932257,2.0083900000000003,0.0,0.62832
3.2,0.3124864775220159,1.98012,0.0,0.62832
3.2500000000000004,0.2317272908212987,2.14171,0.0,0.62832
3.3,0.3109259934419733,2.46224,0.0,0.62832
3.3499999999999996,0.5323180640252518,2.84574,0.0,0.62832
3.4,0.8228934335164232,3.1680599999999997,0.0,0.62832
3.45,1.0805736515582172,3.3266,0.0,0.62832
3.5,1.2126156018835126,3.2838,0.0,0.62832
3.55,1.1717581217713033,3.0868,0.0,0.62832
3.6,0.9759403450510542,2.85405,0.0,0.62832
3.6500000000000004,0.7034199050277956,2.73169,0.0,0.62832
3.7,0.4643644045161204,2.83474,0.0,0.62832
3.7499999999999996,0.35923115493502156,3.1964,0.0,0.62832
3.8,0.43965765892845043,3.7467699999999997,0.0,0.62832
3.85,0.6870780157985162,4.33218,0.0,0.62832
3.9,1.0178638802473912,4.77,0.0,0.62832
3.9499999999999997,1.3137235745090245,4.91885,0.0,0.62832
4.0,1.4663697963741043,4.73747,0.0,0.62832
4.050000000000001,1.419599386596999,4.3080099999999995,0.0,0.62832
4.1,1.1924800269755431,3.81304,0.0,0.62832
4.1499999999999995,0.8741761971410011,3.47298,0.0,0.62832
4.2,0.5915870506507542,3.46518,0.0,0.62832
4.25,0.46150443604904595,3.8542699999999996,0.0,0.62832
4.3,0.545316583947585,4.5605,0.0,0.62832
4.35,0.8238124465199818,5.38036,0.0,0.62832
4.4,1.2023943392579335,6.05473,0.0,0.62832
4.45,1.5454729216424088,6.36261,0.0,0.62832
4.5,1.727571672245535,6.20488,0.0,0.62832
4.55,1.6818029866423085,5.646059999999999,0.0,0.62832
4.6,1.426984575093596,4.89462,0.0,0.62832
4.65,1.0624066025038703,4.2278199999999995,0.0,0.62832
4.7,0.7315821395088459,3.8888599999999998,0.0,0.62832
4.75,0.5682183879962657,3.99705,0.0,0.62832
4.8,0.6448420161809691,4.50549,0.0,0.62832
4.8500000000000005,0.94385943912283,5.2226,0.0,0.62832
4.9,1.3626205803763645,5.88699,0.0,0.62832
4.949999999999999,1.751138841708792,6.2676,0.0,0.62832
5.0,1.968617754922918,6.25054,0.0,0.62832
5.050000000000001,1.9374080733220673,5.88094,0.0,0.62832
5.1,1.6736256089366441,5.34434,0.0,0.62832
5.1499999999999995,1.2823944212177114,4.89422,0.0,0.62832
5.2,0.9190038134285836,4.7532,0.0,0.62832
5.25,0.7302936832778567,5.02492,0.0,0.62832
5.300000000000001,0.7984844481419062,5.6508199999999995,0.0,0.62832
5.35,1.1089582871861288,6.42999,0.0,0.62832
5.4,1.5545895306377104,7.095,0.0,0.62832
5.45,1.9754735919294653,7.41725,0.0,0.62832
5.499999999999999,2.2192142207332823,7.299919999999999,0.0,0.62832
5.55,2.199161356995633,6.82057,0.0,0.62832
5.6,1.9280341406857693,6.20366,0.0,0.62832
5.65,1.5142099372873514,5.73219,0.0,0.62832
5.7,1.1212693853817999,5.63286,0.0,0.62832
5.75,0.9063490043695812,5.98505,0.0,0.62832
5.8,0.9602858775484368,6.6882,0.0,0.62832
5.8500000000000005,1.272606932729812,7.50208,0.0,0.62832
5.8999999999999995,1.7348318749736482,8.14179,0.0,0.62832
5.949999999999999,2.1810751810855997,8.38824,0.0,0.62832
6.0,2.4507503568498405,8.17331,0.0,0.62832
6.050000000000001,2.449610780725428,7.60752,0.0,0.62832
6.1000000000000005,2.1858540487041043,6.94078,0.0,0.62832
6.1499999999999995,1.7675285196142565,6.46986,0.0,0.62832
6.2,1.3618228770892757,6.42459,0.0,0.62832
6.25,1.131679964686112,6.87487,0.0,0.62832
6.3,1.1736604786886697,7.69395,0.0,0.62832
6.35,1.480759701983825,8.5974,0.0,0.62832
6.4,1.9445579944897533,9.24816,0.0,0.62832
6.45,2.3961426041783875,9.3932,0.0,0.62832
6.500000000000001,2.6703209436600663,8.97831,0.0,0.62832
6.55,2.6688321425943013,8.18628,0.0,0.62832
6.6,2.3983298551268573,7.3731,0.0,0.62832
6.65,1.9683788115419927,6.92249,0.0,0.62832
6.699999999999999,1.5501580499345504,7.081,0.0,0.62832
6.75,1.3113745772719287,7.850510000000001,0.0,0.62832
6.8,1.3521658884478818,8.9859,0.0,0.62832
6.8500000000000005,1.6664591455348938,10.0949,0.0,0.62832
6.9,2.1436713518407635,10.7932,0.0,0.62832
6.949999999999999,2.610309394527688,10.8499,0.0,0.62832
7.0,2.8957180729128527,10.2725,0.0,0.62832
7.050000000000001,2.8972068739786176,9.303939999999999,0.0,0.62832
7.1,2.619444383783061,8.33836,0.0,0.62832
7.1499999999999995,2.1733738521157786,7.78305,0.0,0.62832
7.2,1.734578227384666,7.9105,0.0,0.62832
7.25,1.4767730235743879,8.75248,0.0,0.62832
7.300000000000001,1.5058028063307973,10.0736,0.0,0.62832
7.35,1.8190539026717742,11.4437,0.0,0.62832
7.4,2.306005808789358,12.3903,0.0,0.62832
7.45,2.7898293946428288,12.581,0.0,0.62832
7.499999999999999,3.0944454448023686,11.9629,0.0,0.62832
7.55,3.111483945888345,10.7941,0.0,0.62832
7.6,2.841661728043535,9.54299,0.0,0.62832
7.65,2.39476408467305,8.69688,0.0,0.62832
7.7,1.9480686241633474,8.56322,0.0,0.62832
7.75,1.6789080956810989,9.15497,0.0,0.62832
7.8,1.6973177641683852,10.2044,0.0,0.62832
7.8500000000000005,2.0040548963401386,11.2872,0.0,0.62832
7.8999999999999995,2.4902862962629326,11.9942,0.0,0.62832
7.949999999999999,2.9789255102550505,12.0811,0.0,0.62832
8.0,3.2919413392671157,11.5459,0.0,0.62832
8.05,3.3178942664876114,10.6207,0.0,0.62832
8.100000000000001,3.054376477847213,9.68445,0.0,0.62832
8.15,2.6088757342421367,9.12783,0.0,0.62832
8.2,2.1580447152164206,9.21057,0.0,0.62832
8.25,1.8806865907424295,9.957939999999999,0.0,0.62832
8.299999999999999,1.8898583405179443,11.1356,0.0,0.62832
8.35,2.1899160861798332,12.3221,0.0,0.62832
8.4,2.674787346857361,13.0654,0.0,0.62832
8.450000000000001,3.1682238087280545,13.0703,0.0,0.62832
8.5,3.490687091416703,12.3377,0.0,0.62832
8.549999999999999,3.5276497944198306,11.1863,0.0,0.62832
8.6,3.2731015726941646,10.1273,0.0,0.62832
8.65,2.831736387605102,9.64587,0.0,0.62832
8.7,2.3790857228323397,9.9857,0.0,0.62832
8.75,2.09454091667052,11.0438,0.0,0.62832
8.8,2.0931256366450395,12.4224,0.0,0.62832
8.85,2.3816405789822324,13.604,0.0,0.62832
8.9,2.8563291755803304,14.163,0.0,0.62832
8.95,3.3425054347229115,13.9216,0.0,0.62832
9.0,3.6612926653973252,13.0038,0.0,0.62832
9.05,3.6979245237191716,11.7814,0.0,0.62832
9.1,3.4454165108614054,10.7435,0.0,0.62832
9.15,3.007212730504585,10.3285,0.0,0.62832
9.2,2.557705090203993,10.7693,0.0,0.62832
