p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.36332e-03,-1.55251e-03,3.92887e-04,-7.05923e-22,1,4.50000e-02,5.31820e-01,3.18198e-02,5.00000e-03
-1.36303e-03,-1.58404e-03,4.05393e-04,-7.21610e-22,1,4.60000e-02,5.32527e-01,3.25269e-02,5.00000e-03
-1.36274e-03,-1.61557e-03,4.17898e-04,-7.37297e-22,1,4.70000e-02,5.33234e-01,3.32340e-02,5.00000e-03
-1.36244e-03,-1.64710e-03,4.30404e-04,-7.52985e-22,1,4.80000e-02,5.33941e-01,3.39411e-02,5.00000e-03
-1.36215e-03,-1.67864e-03,4.42910e-04,-7.68672e-22,1,4.90000e-02,5.34648e-01,3.46482e-02,5.00000e-03
-1.36185e-03,-1.71017e-03,4.55416e-04,-7.84359e-22,1,5.00000e-02,5.35355e-01,3.53553e-02,5.00000e-03
-1.35940e-03,-1.80055e-03,4.98886e-04,-7.84358e-22,1,5.10000e-02,5.36062e-01,3.60624e-02,5.00000e-03
-1.35695e-03,-1.89094e-03,5.42356e-04,-7.84359e-22,1,5.20000e-02,5.36770e-01,3.67696e-02,5.00000e-03
-1.35449e-03,-1.98132e-03,5.85827e-04,-7.84359e-22,1,5.30000e-02,5.37477e-01,3.74767e-02,5.00000e-03
-1.35204e-03,-2.07171e-03,6.29297e-04,-7.84358e-22,1,5.40000e-02,5.38184e-01,3.81838e-02,5.00000e-03
-1.34958e-03,-2.16209e-03,6.72768e-04,-7.84359e-22,1,5.50000e-02,5.38891e-01,3.88909e-02,5.00000e-03
-1.34713e-03,-2.25248e-03,7.16238e-04,-7.84359e-22,1,5.60000e-02,5.39598e-01,3.95980e-02,5.00000e-03
-1.34467e-03,-2.34286e-03,7.59708e-04,-7.84359e-22,1,5.70000e-02,5.40305e-01,4.03051e-02,5.00000e-03
-1.34222e-03,-2.43325e-03,8.03179e-04,-7.84358e-22,1,5.80000e-02,5.41012e-01,4.10122e-02,5.00000e-03
-1.33977e-03,-2.52364e-03,8.46649e-04,-7.84359e-22,1,5.90000e-02,5.41719e-01,4.17193e-02,5.00000e-03
-1.33731e-03,-2.61402e-03,8.90120e-04,-7.84359e-22,1,6.00000e-02,5.42426e-01,4.24264e-02,5.00000e-03
-1.33486e-03,-2.70440e-03,9.33590e-04,-7.84359e-22,1,6.10000e-02,5.43133e-01,4.31335e-02,5.00000e-03
-1.33240e-03,-2.79479e-03,9.77061e-04,-7.84359e-22,1,6.20000e-02,5.43841e-01,4.38406e-02,5.00000e-03
-1.32995e-03,-2.88518e-03,1.02053e-03,-7.84359e-22,1,6.30000e-02,5.44548e-01,4.45477e-02,5.00000e-03
-1.32749e-03,-2.97556e-03,1.06400e-03,-7.84359e-22,1,6.40000e-02,5.45255e-01,4.52548e-02,5.00000e-03
-1.32504e-03,-3.06595e-03,1.10747e-03,-7.84358e-22,1,6.50000e-02,5.45962e-01,4.59619e-02,5.00000e-03
-1.32258e-03,-3.15633e-03,1.15094e-03,-7.84359e-22,1,6.60000e-02,5.46669e-01,4.66690e-02,5.00000e-03
