U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,,,,,
-0.10767,46346,1,6.0627,15,6.0625,0.045469,,,,,
-0.09765,46827,1,6.1252,15,6.125,0.045938,,,,,
-0.088039,47307,1,6.1877,15,6.1875,0.046406,,,,,
-0.078843,47787,1,6.2502,15,6.25,0.046875,,,,,
-0.070109,48268,1,6.3127,15,6.3125,0.047344,,,,,
-0.061817,48748,1,6.3752,15,6.375,0.047813,,,,,
-0.053952,49228,1,6.4377,15,6.4375,0.048281,,,,,
-0.046545,49709,1,6.5002,15,6.5,0.04875,,,,,
-0.039594,50189,1,6.5627,15,6.5625,0.049219,,,,,
-0.033067,50669,1,6.6252,15,6.625,0.049688,,,,,
-0.026978,51150,1,6.6877,15,6.6875,0.050156,,,,,
-0.02134,51630,1,6.7502,15,6.75,0.050625,,,,,
-0.016108,52110,1,6.8127,15,6.8125,0.051094,,,,,
-0.011283,52591,1,6.8752,15,6.875,0.051563,,,,,
-0.0068885,53071,1,6.9377,15,6.9375,0.052031,,,,,
-0.0028699,53551,1,7.0002,15,7,0.0525,,,,,
0.00078113,54032,1,7.0627,15,7.0625,0.052969,,,,,
0.0040371,54512,1,7.1252,15,7.125,0.053438,,,,,
0.0069561,54992,1,7.1877,15,7.1875,0.053906,,,,,
0.0095514,55472,1,7.2502,15,7.25,0.054375,,,,,
0.0118,55953,1,7.3127,15,7.3125,0.054844,,,,,
0.013754,56433,1,7.3752,15,7.375,0.055313,,,,,
0.015431,56913,1,7.4377,15,7.4375,0.055781,,,,,
0.016817,57394,1,7.5002,15,7.5,0.05625,,,,,
0.017954,57874,1,7.5627,15,7.5625,0.056719,,,,,
0.01886,58354,1,7.6252,15,7.625,0.057188,,,,,
0.01953,58835,1,7.6877,15,7.6875,0.057656,,,,,
0.019996,59315,1,7.7502,15,7.75,0.058125,,,,,
0.020278,59795,1,7.8127,15,7.8125,0.058594,,,,,
0.020372,60276,1,7.8752,15,7.875,0.059063,,,,,
0.020307,60756,1,7.9377,15,7.9375,0.059531,,,,,
0.020098,61236,1,8.0002,15,8,0.06,,,,,
0.019745,61717,1,8.0627,15,8.0625,0.060469,,,,,
0.019269,62197,1,8.1252,15,8.125,0.060938,,,,,
0.018685,62677,1,8.1877,15,8.1875,0.061406,,,,,
0.01799,63158,1,8.2502,15,8.25,0.061875,,,,,
0.017203,63638,1,8.3127,15,8.3125,0.062344,,,,,
0.016331,64118,1,8.3752,15,8.375,0.062812,,,,,
0.015375,64599,1,8.4377,15,8.4375,0.063281,,,,,
0.014346,65079,1,8.5002,15,8.5,0.06375,,,,,
0.013248,65559,1,8.5627,15,8.5625,0.064219,,,,,
0.01208,66040,1,8.6252,15,8.625,0.064688,,,,,
0.010848,66520,1,8.6877,15,8.6875,0.065156,,,,,
0.0095547,67000,1,8.7502,15,8.75,0.065625,,,,,
0.0081936,67481,1,8.8127,15,8.8125,0.066094,,,,,
0.0067698,67961,1,8.8752,15,8.875,0.066563,,,,,
0.005282,68442,1,8.9378,15,8.9375,0.067031,,,,,
0.0037199,68922,1,9.0003,15,9,0.0675,,,,,
0.0020878,69402,1,9.0628,15,9.0625,0.067969,,,,,
0.00038057,69883,1,9.1253,15,9.125,0.068438,,,,,
-0.0014135,70363,1,9.1878,15,9.1875,0.068906,,,,,
-0.0032915,70843,1,9.2503,15,9.25,0.069375,,,,,
-0.0052615,71324,1,9.3128,15,9.3125,0.069844,,,,,
-0.0073349,71804,1,9.3753,15,9.375,0.070312,,,,,
-0.0095092,72284,1,9.4378,15,9.4375,0.070781,,,,,
-0.011795,72765,1,9.5003,15,9.5,0.07125,,,,,
-0.014202,73245,1,9.5628,15,9.5625,0.071719,,,,,
-0.016725,73725,1,9.6253,15,9.625,0.072188,,,,,
-0.01938,74206,1,9.6878,15,9.6875,0.072656,,,,,
-0.022166,74686,1,9.7503,15,9.75,0.073125,,,,,
-0.025082,75166,1,9.8128,15,9.8125,0.073594,,,,,
-0.028142,75647,1,9.8753,15,9.875,0.074063,,,,,
