Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
4.05522e-04,-4.05522e-04,-9.61014e-05,5.01991e-22,1.96605e+00,-8.93420e-01,-1.01504e+00,1,1.32000e-02,3.00000e-01,1.32000e-02,2.00000e-03
4.02079e-04,-4.02079e-04,-9.88633e-05,5.33915e-23,1.96504e+00,-8.89734e-01,-1.01504e+00,1,1.36000e-02,3.00000e-01,1.36000e-02,2.00000e-03
3.98671e-04,-3.98671e-04,-1.01600e-04,-4.07405e-22,1.96402e+00,-8.86049e-01,-1.01505e+00,1,1.40000e-02,3.00000e-01,1.40000e-02,2.00000e-03
3.95295e-04,-3.95295e-04,-1.04217e-04,4.15758e-22,1.96301e+00,-8.82363e-01,-1.01506e+00,1,1.44000e-02,3.00000e-01,1.44000e-02,2.00000e-03
3.91954e-04,-3.91954e-04,-1.06805e-04,1.38873e-21,1.96200e+00,-8.78677e-01,-1.01506e+00,1,1.48000e-02,3.00000e-01,1.48000e-02,2.00000e-03
3.88645e-04,-3.88645e-04,-1.09316e-04,2.46075e-21,1.96098e+00,-8.74991e-01,-1.01507e+00,1,1.52000e-02,3.00000e-01,1.52000e-02,2.00000e-03
3.85365e-04,-3.85365e-04,-1.11747e-04,2.83043e-21,1.95997e+00,-8.71305e-01,-1.01507e+00,1,1.56000e-02,3.00000e-01,1.56000e-02,2.00000e-03
3.82108e-04,-3.82108e-04,-1.14130e-04,2.76003e-21,1.95896e+00,-8.67618e-01,-1.01508e+00,1,1.60000e-02,3.00000e-01,1.60000e-02,2.00000e-03
3.78855e-04,-3.78855e-04,-1.16359e-04,2.39388e-21,1.95794e+00,-8.63931e-01,-1.01509e+00,1,1.64000e-02,3.00000e-01,1.64000e-02,2.00000e-03
3.75631e-04,-3.75631e-04,-1.18555e-04,2.14789e-21,1.95693e+00,-8.60245e-01,-1.01509e+00,1,1.68000e-02,3.00000e-01,1.68000e-02,2.00000e-03
3.72425e-04,-3.72425e-04,-1.20664e-04,2.14623e-21,1.95592e+00,-8.56558e-01,-1.01510e+00,1,1.72000e-02,3.00000e-01,1.72000e-02,2.00000e-03
3.69229e-04,-3.69229e-04,-1.22685e-04,2.36715e-21,1.95490e+00,-8.52871e-01,-1.01511e+00,1,1.76000e-02,3.00000e-01,1.76000e-02,2.00000e-03
3.66062e-04,-3.66062e-04,-1.24672e-04,2.73234e-21,1.95389e+00,-8.49183e-01,-1.01512e+00,1,1.80000e-02,3.00000e-01,1.80000e-02,2.00000e-03
3.62876e-04,-3.62876e-04,-1.26512e-04,3.18893e-21,1.95288e+00,-8.45496e-01,-1.01512e+00,1,1.84000e-02,3.00000e-01,1.84000e-02,2.00000e-03
3.59711e-04,-3.59711e-04,-1.28316e-04,3.27305e-21,1.95186e+00,-8.41808e-01,-1.01513e+00,1,1.88000e-02,3.00000e-01,1.88000e-02,2.00000e-03
3.56542e-04,-3.56542e-04,-1.30027e-04,2.58651e-21,1.95085e+00,-8.38121e-01,-1.01514e+00,1,1.92000e-02,3.00000e-01,1.92000e-02,2.00000e-03
3.53363e-04,-3.53363e-04,-1.31644e-04,1.36549e-21,1.94984e+00,-8.34433e-01,-1.01515e+00,1,1.96000e-02,3.00000e-01,1.96000e-02,2.00000e-03
3.50202e-04,-3.50202e-04,-1.33224e-04,-1.39392e-22,1.94883e+00,-8.30745e-01,-1.01515e+00,1,2.00000e-02,3.00000e-01,2.00000e-02,2.00000e-03
3.46993e-04,-3.46993e-04,-1.34650e-04,-1.25306e-21,1.94782e+00,-8.27057e-01,-1.01516e+00,1,2.04000e-02,3.00000e-01,2.04000e-02,2.00000e-03
3.43798e-04,-3.43798e-04,-1.36037e-04,-2.10390e-21,1.94680e+00,-8.23368e-01,-1.01517e+00,1,2.08000e-02,3.00000e-01,2.08000e-02,2.00000e-03
3.40567e-04,-3.40567e-04,-1.37300e-04,-2.31349e-21,1.94579e+00,-8.19680e-01,-1.01518e+00,1,2.12000e-02,3.00000e-01,2.12000e-02,2.00000e-03
3.37301e-04,-3.37301e-04,-1.38445e-04,-1.66436e-21,1.94478e+00,-8.15991e-01,-1.01519e+00,1,2.16000e-02,3.00000e-01,2.16000e-02,2.00000e-03
3.34047e-04,-3.34047e-04,-1.39550e-04,-5.94040e-22,1.94377e+00,-8.12302e-01,-1.01520e+00,1,2.20000e-02,3.00000e-01,2.20000e-02,2.00000e-03
3.30723e-04,-3.30723e-04,-1.40493e-04,5.15516e-22,1.94276e+00,-8.08613e-01,-1.01521e+00,1,2.24000e-02,3.00000e-01,2.24000e-02,2.00000e-03
3.27409e-04,-3.27409e-04,-1.41396e-04,1.49041e-21,1.94175e+00,-8.04924e-01,-1.01522e+00,1,2.28000e-02,3.00000e-01,2.28000e-02,2.00000e-03
