x_velocity,y_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-6.82342e-03,-5.72450e-02,1,2.44000e+00,3.00000e+01,2.44000e+00,5.00000e+00
-7.22755e-03,-5.79619e-02,1,2.48000e+00,3.00000e+01,2.48000e+00,5.00000e+00
-7.63168e-03,-5.86788e-02,1,2.52000e+00,3.00000e+01,2.52000e+00,5.00000e+00
-8.03581e-03,-5.93956e-02,1,2.56000e+00,3.00000e+01,2.56000e+00,5.00000e+00
-8.43994e-03,-6.01125e-02,1,2.60000e+00,3.00000e+01,2.60000e+00,5.00000e+00
-8.84408e-03,-6.08294e-02,1,2.64000e+00,3.00000e+01,2.64000e+00,5.00000e+00
-9.24821e-03,-6.15463e-02,1,2.68000e+00,3.00000e+01,2.68000e+00,5.00000e+00
-9.65234e-03,-6.22631e-02,1,2.72000e+00,3.00000e+01,2.72000e+00,5.00000e+00
-1.00565e-02,-6.29800e-02,1,2.76000e+00,3.00000e+01,2.76000e+00,5.00000e+00
-1.04918e-02,-6.36725e-02,1,2.80000e+00,3.00000e+01,2.80000e+00,5.00000e+00
-1.10300e-02,-6.42845e-02,1,2.84000e+00,3.00000e+01,2.84000e+00,5.00000e+00
-1.15683e-02,-6.48966e-02,1,2.88000e+00,3.00000e+01,2.88000e+00,5.00000e+00
-1.20074e-02,-6.55161e-02,1,2.92000e+00,3.00000e+01,2.92000e+00,5.00000e+00
-1.24388e-02,-6.61361e-02,1,2.96000e+00,3.00000e+01,2.96000e+00,5.00000e+00
-1.28701e-02,-6.67562e-02,1,3.00000e+00,3.00000e+01,3.00000e+00,5.00000e+00
-1.33014e-02,-6.73763e-02,1,3.04000e+00,3.00000e+01,3.04000e+00,5.00000e+00
-1.37328e-02,-6.79963e-02,1,3.08000e+00,3.00000e+01,3.08000e+00,5.00000e+00
-1.41641e-02,-6.86164e-02,1,3.12000e+00,3.00000e+01,3.12000e+00,5.00000e+00
-1.45955e-02,-6.92364e-02,1,3.16000e+00,3.00000e+01,3.16000e+00,5.00000e+00
-1.50268e-02,-6.98565e-02,1,3.20000e+00,3.00000e+01,3.20000e+00,5.00000e+00
-1.55517e-02,-7.03998e-02,1,3.24000e+00,3.00000e+01,3.24000e+00,5.00000e+00
-1.61049e-02,-7.09198e-02,1,3.28000e+00,3.00000e+01,3.28000e+00,5.00000e+00
-1.66582e-02,-7.14398e-02,1,3.32000e+00,3.00000e+01,3.32000e+00,5.00000e+00
-1.72114e-02,-7.19598e-02,1,3.36000e+00,3.00000e+01,3.36000e+00,5.00000e+00
-1.77075e-02,-7.24763e-02,1,3.40000e+00,3.00000e+01,3.40000e+00,5.00000e+00
-1.81392e-02,-7.29889e-02,1,3.44000e+00,3.00000e+01,3.44000e+00,5.00000e+00
-1.85709e-02,-7.35015e-02,1,3.48000e+00,3.00000e+01,3.48000e+00,5.00000e+00
-1.90027e-02,-7.40141e-02,1,3.52000e+00,3.00000e+01,3.52000e+00,5.00000e+00
-1.94344e-02,-7.45267e-02,1,3.56000e+00,3.00000e+01,3.56000e+00,5.00000e+00
-1.98920e-02,-7.50232e-02,1,3.60000e+00,3.00000e+01,3.60000e+00,5.00000e+00
-2.04488e-02,-7.54584e-02,1,3.64000e+00,3.00000e+01,3.64000e+00,5.00000e+00
-2.10056e-02,-7.58936e-02,1,3.68000e+00,3.00000e+01,3.68000e+00,5.00000e+00
-2.15623e-02,-7.63289e-02,1,3.72000e+00,3.00000e+01,3.72000e+00,5.00000e+00
-2.21191e-02,-7.67641e-02,1,3.76000e+00,3.00000e+01,3.76000e+00,5.00000e+00
-2.25648e-02,-7.71827e-02,1,3.80000e+00,3.00000e+01,3.80000e+00,5.00000e+00
-2.29845e-02,-7.75974e-02,1,3.84000e+00,3.00000e+01,3.84000e+00,5.00000e+00
-2.34324e-02,-7.80054e-02,1,3.88000e+00,3.00000e+01,3.88000e+00,5.00000e+00
-2.39890e-02,-7.83872e-02,1,3.92000e+00,3.00000e+01,3.92000e+00,5.00000e+00
-2.45456e-02,-7.87690e-02,1,3.96000e+00,3.00000e+01,3.96000e+00,5.00000e+00
-2.49645e-02,-7.91237e-02,1,4.00000e+00,3.00000e+01,4.00000e+00,5.00000e+00
-2.55132e-02,-7.94699e-02,1,4.04000e+00,3.00000e+01,4.04000e+00,5.00000e+00
-2.60619e-02,-7.98162e-02,1,4.08000e+00,3.00000e+01,4.08000e+00,5.00000e+00
-2.65348e-02,-8.01454e-02,1,4.12000e+00,3.00000e+01,4.12000e+00,5.00000e+00
-2.70342e-02,-8.04374e-02,1,4.16000e+00,3.00000e+01,4.16000e+00,5.00000e+00
-2.75611e-02,-8.07243e-02,1,4.20000e+00,3.00000e+01,4.20000e+00,5.00000e+00
-2.80881e-02,-8.10113e-02,1,4.24000e+00,3.00000e+01,4.24000e+00,5.00000e+00
-2.86150e-02,-8.12982e-02,1,4.28000e+00,3.00000e+01,4.28000e+00,5.00000e+00
-2.91419e-02,-8.15851e-02,1,4.32000e+00,3.00000e+01,4.32000e+00,5.00000e+00
-2.96689e-02,-8.18721e-02,1,4.36000e+00,3.00000e+01,4.36000e+00,5.00000e+00
-3.01404e-02,-8.21443e-02,1,4.40000e+00,3.00000e+01,4.40000e+00,5.00000e+00
-3.06074e-02,-8.23461e-02,1,4.44000e+00,3.00000e+01,4.44000e+00,5.00000e+00
-3.10967e-02,-8.25357e-02,1,4.48000e+00,3.00000e+01,4.48000e+00,5.00000e+00
-3.15861e-02,-8.27253e-02,1,4.52000e+00,3.00000e+01,4.52000e+00,5.00000e+00
-3.20754e-02,-8.29149e-02,1,4.56000e+00,3.00000e+01,4.56000e+00,5.00000e+00
-3.25834e-02,-8.30905e-02,1,4.60000e+00,3.00000e+01,4.60000e+00,5.00000e+00
-3.30933e-02,-8.32646e-02,1,4.64000e+00,3.00000e+01,4.64000e+00,5.00000e+00
-3.36032e-02,-8.34388e-02,1,4.68000e+00,3.00000e+01,4.68000e+00,5.00000e+00
-3.41131e-02,-8.36129e-02,1,4.72000e+00,3.00000e+01,4.72000e+00,5.00000e+00
-3.46230e-02,-8.37871e-02,1,4.76000e+00,3.00000e+01,4.76000e+00,5.00000e+00
-3.51519e-02,-8.39483e-02,1,4.80000e+00,3.00000e+01,4.80000e+00,5.00000e+00
-3.57432e-02,-8.40668e-02,1,4.84000e+00,3.00000e+01,4.84000e+00,5.00000e+00
-3.62018e-02,-8.41266e-02,1,4.88000e+00,3.00000e+01,4.88000e+00,5.00000e+00
-3.66572e-02,-8.41851e-02,1,4.92000e+00,3.00000e+01,4.92000e+00,5.00000e+00
-3.71127e-02,-8.42436e-02,1,4.96000e+00,3.00000e+01,4.96000e+00,5.00000e+00
-3.75682e-02,-8.43021e-02,1,5.00000e+00,3.00000e+01,5.00000e+00,5.00000e+00
-3.80237e-02,-8.43606e-02,1,5.04000e+00,3.00000e+01,5.04000e+00,5.00000e+00
-3.84791e-02,-8.44191e-02,1,5.08000e+00,3.00000e+01,5.08000e+00,5.00000e+00
-3.89346e-02,-8.44776e-02,1,5.12000e+00,3.00000e+01,5.12000e+00,5.00000e+00
