U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.01471,13816,1,7.2502,15,7.25,0.054375
0.016183,14056,1,7.3127,15,7.3125,0.054844
0.017555,14056,1,7.3752,15,7.375,0.055313
0.018476,14296,1,7.4377,15,7.4375,0.055781
0.019252,14297,1,7.5002,15,7.5,0.05625
0.01964,14537,1,7.5627,15,7.5625,0.056719
0.019953,14537,1,7.6252,15,7.625,0.057188
0.019947,14777,1,7.6877,15,7.6875,0.057656
0.019875,14777,1,7.7502,15,7.75,0.058125
0.019541,15017,1,7.8127,15,7.8125,0.058594
0.019126,15018,1,7.8752,15,7.875,0.059063
0.018499,15258,1,7.9377,15,7.9375,0.059531
0.017831,15258,1,8.0002,15,8,0.06
0.017007,15498,1,8.0627,15,8.0625,0.060469
0.016149,15498,1,8.1252,15,8.125,0.060938
0.015175,15738,1,8.1877,15,8.1875,0.061406
0.014165,15739,1,8.2502,15,8.25,0.061875
0.013072,15979,1,8.3127,15,8.3125,0.062344
0.011963,15979,1,8.3752,15,8.375,0.062812
0.010798,16219,1,8.4377,15,8.4375,0.063281
0.0096231,16219,1,8.5002,15,8.5,0.06375
0.0084104,16459,1,8.5627,15,8.5625,0.064219
0.0071868,16460,1,8.6252,15,8.625,0.064688
0.005936,16700,1,8.6877,15,8.6875,0.065156
0.0046809,16700,1,8.7502,15,8.75,0.065625
0.0034013,16940,1,8.8127,15,8.8125,0.066094
0.0021181,16940,1,8.8752,15,8.875,0.066563
0.00080564,17181,1,8.9378,15,8.9375,0.067031
-0.00051686,17181,1,9.0003,15,9,0.0675
-0.0018809,17421,1,9.0628,15,9.0625,0.067969
-0.0032534,17421,1,9.1253,15,9.125,0.068438
-0.0046843,17661,1,9.1878,15,9.1875,0.068906
-0.0061277,17661,1,9.2503,15,9.25,0.069375
-0.0076544,17902,1,9.3128,15,9.3125,0.069844
-0.0092107,17902,1,9.3753,15,9.375,0.070312
-0.010875,18142,1,9.4378,15,9.4375,0.070781
-0.012566,18142,1,9.5003,15,9.5,0.07125
-0.014391,18382,1,9.5628,15,9.5625,0.071719
-0.016251,18382,1,9.6253,15,9.625,0.072188
-0.018289,18623,1,9.6878,15,9.6875,0.072656
-0.020382,18623,1,9.7503,15,9.75,0.073125
-0.022666,18863,1,9.8128,15,9.8125,0.073594
-0.025003,18863,1,9.8753,15,9.875,0.074063
-0.027553,19103,1,9.9378,15,9.9375,0.074531
-0.030162,19103,1,10,15,10,0.075
-0.033039,19344,1,10.063,15,10.062,0.075469
-0.035982,19344,1,10.125,15,10.125,0.075938
-0.039163,19584,1,10.188,15,10.188,0.076406
-0.042413,19584,1,10.25,15,10.25,0.076875
-0.045896,19824,1,10.313,15,10.312,0.077344
-0.049468,19825,1,10.375,15,10.375,0.077813
-0.053268,20065,1,10.438,15,10.438,0.078281
-0.057134,20065,1,10.5,15,10.5,0.07875
-0.061169,20305,1,10.563,15,10.562,0.079219
-0.065264,20305,1,10.625,15,10.625,0.079688
-0.069469,20546,1,10.688,15,10.688,0.080156
-0.073734,20546,1,10.75,15,10.75,0.080625
-0.078015,20786,1,10.813,15,10.812,0.081094
-0.082318,20786,1,10.875,15,10.875,0.081563
-0.086527,21026,1,10.938,15,10.938,0.082031
-0.090738,21026,1,11,15,11,0.0825
-0.094696,21267,1,11.063,15,11.062,0.082969
-0.0986,21267,1,11.125,15,11.125,0.083438
-0.1021,21507,1,11.188,15,11.188,0.083906
-0.10552,21507,1,11.25,15,11.25,0.084375
-0.10836,21747,1,11.313,15,11.312,0.084844
-0.11104,21748,1,11.375,15,11.375,0.085313
-0.11284,21988,1,11.438,15,11.438,0.085781
-0.11446,21988,1,11.5,15,11.5,0.08625
-0.11505,22228,1,11.563,15,11.562,0.086719
-0.11542,22228,1,11.625,15,11.625,0.087188
-0.11451,22469,1,11.688,15,11.688,0.087656
-0.11314,22469,1,11.75,15,11.75,0.088125
-0.11027,22709,1,11.813,15,11.812,0.088594
-0.10707,22709,1,11.875,15,11.875,0.089063
-0.10216,22949,1,11.938,15,11.938,0.089531
-0.09688,22949,1,12,15,12,0.09
-0.089406,23190,1,12.063,15,12.062,0.090469
-0.081491,23190,1,12.125,15,12.125,0.090938
-0.071533,23430,1,12.188,15,12.188,0.091406
-0.061104,23430,1,12.25,15,12.25,0.091875
-0.048534,23670,1,12.313,15,12.312,0.092344
-0.035141,23671,1,12.375,15,12.375,0.092813
-0.019524,23911,1,12.438,15,12.438,0.093281
-0.0034033,23911,1,12.5,15,12.5,0.09375
0.014887,24151,1,12.563,15,12.562,0.094219
0.033677,24151,1,12.625,15,12.625,0.094688
0.054859,24392,1,12.688,15,12.688,0.095156
0.076544,24392,1,12.75,15,12.75,0.095625
0.10013,24632,1,12.813,15,12.812,0.096094
0.12414,24632,1,12.875,15,12.875,0.096563
0.14981,24872,1,12.938,15,12.938,0.097031
0.1761,24873,1,13,15,13,0.0975
0.20372,25113,1,13.063,15,13.062,0.097969
0.23163,25113,1,13.125,15,13.125,0.098438
0.26047,25353,1,13.188,15,13.188,0.098906
0.28953,25354,1,13.25,15,13.25,0.099375
0.31919,25594,1,13.313,15,13.312,0.099844
0.34892,25594,1,13.375,15,13.375,0.10031
0.37865,25834,1,13.438,15,13.438,0.10078
0.40837,25834,1,13.5,15,13.5,0.10125
0.43759,26075,1,13.563,15,13.562,0.10172
0.46659,26075,1,13.625,15,13.625,0.10219
0.49458,26315,1,13.688,15,13.688,0.10266
0.5223,26315,1,13.75,15,13.75,0.10313
0.54854,26555,1,13.813,15,13.812,0.10359
0.5743,26556,1,13.875,15,13.875,0.10406
0.59796,26796,1,13.938,15,13.938,0.10453
0.62112,26796,1,14,15,14,0.105
0.64196,27036,1,14.063,15,14.062,0.10547
0.66224,27036,1,14.125,15,14.125,0.10594
0.67955,27277,1,14.188,15,14.188,0.10641
0.69611,27277,1,14.25,15,14.25,0.10688
0.70977,27517,1,14.313,15,14.312,0.10734
0.72276,27517,1,14.375,15,14.375,0.10781
0.73266,27758,1,14.438,15,14.438,0.10828
0.74138,27758,1,14.5,15,14.5,0.10875
0.74704,27998,1,14.563,15,14.562,0.10922
0.75197,27998,1,14.625,15,14.625,0.10969
0.75388,28238,1,14.688,15,14.688,0.11016
0.75482,28239,1,14.75,15,14.75,0.11063
0.75264,28479,1,14.813,15,14.812,0.11109
0.74981,28479,1,14.875,15,14.875,0.11156
0.74431,28719,1,14.938,15,14.938,0.11203
0.73821,28719,1,15,15,15,0.1125
0.7293,28960,1,15.063,15,15.062,0.11297
0.71988,28960,1,15.125,15,15.125,0.11344
0.70845,29200,1,15.188,15,15.188,0.11391
0.69656,29200,1,15.25,15,15.25,0.11438
0.68286,29441,1,15.313,15,15.312,0.11484
0.66868,29441,1,15.375,15,15.375,0.11531
0.65327,29681,1,15.438,15,15.438,0.11578
0.6376,29681,1,15.5,15,15.5,0.11625
0.62106,29922,1,15.563,15,15.562,0.11672
0.60422,29922,1,15.625,15,15.625,0.11719
0.58694,30162,1,15.688,15,15.688,0.11766
0.56958,30162,1,15.75,15,15.75,0.11813
0.55211,30402,1,15.813,15,15.812,0.11859
0.53463,30403,1,15.875,15,15.875,0.11906
0.51739,30643,1,15.938,15,15.938,0.11953
0.5002,30643,1,16,15,16,0.12
0.48351,30883,1,16.063,15,16.062,0.12047
0.46697,30884,1,16.125,15,16.125,0.12094
0.45122,31124,1,16.188,15,16.188,0.12141
0.43561,31124,1,16.25,15,16.25,0.12188
0.4209,31364,1,16.313,15,16.312,0.12234
0.40638,31365,1,16.375,15,16.375,0.12281
0.39303,31605,1,16.438,15,16.438,0.12328
0.37985,31605,1,16.5,15,16.5,0.12375
0.36777,31845,1,16.563,15,16.562,0.12422
0.35586,31845,1,16.625,15,16.625,0.12469
0.34527,32086,1,16.688,15,16.688,0.12516
0.33484,32086,1,16.75,15,16.75,0.12562
0.32554,32326,1,16.813,15,16.812,0.12609
0.31638,32326,1,16.875,15,16.875,0.12656
0.30847,32567,1,16.938,15,16.938,0.12703
0.30071,32567,1,17,15,17,0.1275
0.29398,32807,1,17.063,15,17.062,0.12797
0.28736,32807,1,17.125,15,17.125,0.12844
0.2818,33048,1,17.188,15,17.188,0.12891
0.27637,33048,1,17.25,15,17.25,0.12938
0.2718,33288,1,17.313,15,17.312,0.12984
0.26732,33288,1,17.375,15,17.375,0.13031
0.26367,33529,1,17.438,15,17.438,0.13078
0.26013,33529,1,17.5,15,17.5,0.13125
0.25726,33769,1,17.563,15,17.562,0.13172
0.25444,33769,1,17.625,15,17.625,0.13219
0.25226,34010,1,17.688,15,17.688,0.13266
0.25016,34010,1,17.75,15,17.75,0.13313
0.24854,34250,1,17.813,15,17.812,0.13359
0.24698,34250,1,17.876,15,17.875,0.13406
0.24587,34491,1,17.938,15,17.938,0.13453
