l,UyTau0.004,UyTau0.005,UyTau0.01,UyTau0.02,UyTau0.04,UyTau0.08,UyTau0.16
0,-9.81E-06,-1.09483465E-05,-1.53150282E-05,-2.13608406E-05,-2.97481427E-05,-4.04151071E-05,-4.72958687E-05
0.013582702333833,-0.000124744635,-0.000126707545,-0.00013569395,-0.000150613381,-0.000173396392,-0.00020144156,-0.000207484351
0.02716540390232,-0.000370973896,-0.000372491338,-0.000380469803,-0.00039634326,-0.000423785775,-0.000456373615,-0.000438604375
0.040748106229563,-0.000733452484,-0.00073511044,-0.000743249806,-0.000759152836,-0.000786942433,-0.000813793872,-0.000748142002
0.054330808556806,-0.00120967217,-0.00121112977,-0.00121867675,-0.00123377778,-0.00125929285,-0.00127210577,-0.00113580456
0.06791351019778,-0.00178773693,-0.00178911154,-0.00179618788,-0.00181023524,-0.00183196196,-0.00182430937,-0.00159720582
0.081496212525023,-0.00245534907,-0.00245659569,-0.00246315081,-0.00247603123,-0.00249304539,-0.00246004541,-0.00212520259
0.095078914852267,-0.00319775078,-0.00319890468,-0.00320502915,-0.00321677695,-0.00322855876,-0.0031666408,-0.00271060983
0.10866161717951,-0.00399896875,-0.00400006083,-0.00400590257,-0.00401668569,-0.00402305123,-0.00392982433,-0.00334276804
0.122244318754586,-0.00484192987,-0.0048430118,-0.00484879257,-0.00485891205,-0.00485999557,-0.00473419222,-0.00400995177
0.13582702108183,-0.00561314097,-0.00561465492,-0.00562236483,-0.00563500262,-0.00563540502,-0.00548425242,-0.00464008232
0.149409723409073,-0.00641716089,-0.00641890145,-0.00642762454,-0.00644137219,-0.0064393144,-0.00626091583,-0.00529246215
0.162992425050047,-0.00719211929,-0.00719419311,-0.0072044188,-0.00722011785,-0.00721707629,-0.00701468811,-0.00593038687
0.176575127443187,-0.00791821782,-0.00792074476,-0.00793302857,-0.00795166355,-0.00794949172,-0.00772763982,-0.00653993513
0.190157829836328,-0.00857561421,-0.008578727,-0.00859368888,-0.00861638874,-0.00861733181,-0.00838185086,-0.0071072149
0.203740531477301,-0.00914462191,-0.00914846498,-0.0091667861,-0.00919482324,-0.00920152822,-0.00895958857,-0.00761850339
0.217323233870442,-0.00960598521,-0.00961071346,-0.00963313103,-0.00966791676,-0.00968343423,-0.00944354449,-0.0080604163
0.23090593560461,-0.00994124,-0.00994701685,-0.00997431626,-0.0100173908,-0.0100451645,-0.00981713778,-0.00842011418
0.24448863799775,-0.0101331567,-0.0101401515,-0.0101731552,-0.0102261711,-0.0102700113,-0.0100648844,-0.00868554805
0.258071339638724,-0.010166252,-0.0101746367,-0.0102141896,-0.0102788875,-0.0103429256,-0.0101728221,-0.00884574081
0.271654042031864,-0.00854094879,-0.008552228,-0.00860563525,-0.00869684987,-0.00881653558,-0.00879035426,-0.00784684678
0.285236744425005,-0.00805593356,-0.00806896768,-0.00813080044,-0.00823796543,-0.00838923072,-0.00843401726,-0.00764775485
0.298819446065979,-0.00738758979,-0.00740250308,-0.00747341519,-0.00759807012,-0.00778509288,-0.00791384738,-0.0073218271
0.312402148459119,-0.00653657569,-0.00655347182,-0.00663402747,-0.00677757744,-0.00700434849,-0.00722968954,-0.00686778511
0.32598485085226,-0.00550771496,-0.00552667238,-0.00561732237,-0.00578098619,-0.00605118065,-0.00638497321,-0.00628692604
0.339567552493234,-0.0043100599,-0.00433112763,-0.00443218776,-0.00461694841,-0.00493379884,-0.00538678801,-0.00558322332
0.353150254886374,-0.00295678517,-0.00297997956,-0.00309161248,-0.00329817299,-0.00366435167,-0.00424582334,-0.00476334279
0.366732957279515,-0.00146490907,-0.00149021151,-0.00161241341,-0.00184116122,-0.0022586792,-0.0029761679,-0.00383656787
0.380315658920489,0.000145148455,0.000117792511,-1.48008682E-05,-0.000265783316,-0.000735913095,-0.00159497517,-0.00281463254
0.393898360654656,0.0018501491,0.00182082966,0.00167819643,0.00140528308,0.000882055184,-0.000122011087,-0.00171146765
0.407481063047797,0.00596138368,0.00593063223,0.00577998079,0.00548541268,0.00489358109,0.00364819001,0.00131906892
0.421063765440937,0.0077367185,0.00770459948,0.00754664139,0.00723468112,0.00659661609,0.00521645288,0.00253491892
0.434646467081911,0.00950549495,0.0094721974,0.00930779723,0.008979887,0.00829788768,0.00678725701,0.00376435084
0.448229169475052,0.0112424924,0.0112082152,0.0110382957,0.0106960357,0.00997286895,0.00833756438,0.00498900984
0.461811871868192,0.0129239495,0.0128888919,0.0127143869,0.0123594479,0.0115981845,0.00984515918,0.00619074608
0.475394573509166,0.0145282173,0.0144925663,0.0143143619,0.0139483736,0.0131521809,0.0112891501,0.00735202855
0.488977275902306,0.0160363792,0.0160002944,0.0158191539,0.0154435632,0.0146154448,0.0126504189,0.00845633334
0.502559978295447,0.0174328691,0.017396463,0.0172129293,0.0168288167,0.0159712842,0.0139120202,0.00948850315
0.516142679936421,0.018706133,0.018669444,0.0184837109,0.0180915482,0.0172061991,0.0150595467,0.01043508
0.529725382329561,0.0198494023,0.0198123595,0.0196240966,0.0192234207,0.0183103821,0.0160814814,0.0112846174
0.543308084063729,0.0218901845,0.0218555838,0.0216785101,0.0212950815,0.0203979142,0.018135653,0.0131499926
0.556890786456869,0.022652295,0.0226163826,0.0224322732,0.0220328829,0.0210994129,0.018759811,0.0136769892
0.570473488097843,0.0233222516,0.0232839802,0.0230877846,0.0226633781,0.0216798171,0.0192505314,0.0140888467
0.584056190490984,0.0239347212,0.023892484,0.0236764315,0.0232129536,0.0221573358,0.019615836,0.0143876316
0.597638892884124,0.0245411655,0.0244925831,0.0242451431,0.023721591,0.022560518,0.0198700244,0.0145793174
0.611221594525098,0.0252147211,0.0251563676,0.0248608959,0.0242467609,0.0229310553,0.020035025,0.0146743496
0.624804296918239,0.0260562707,0.0259833286,0.0256163663,0.0248683709,0.023327403,0.0201421518,0.014688341
0.638386999311379,0.0272016945,0.0271075439,0.0266367647,0.0256948532,0.023829353,0.0202343587,0.0146429327
0.651969700952353,0.02883007,0.0287058268,0.0280877084,0.0268703644,0.024543645,0.0203690954,0.014566866
0.66555240409766,0.0311721844,0.0310062343,0.0301836545,0.028582832,0.025610611,0.0206218684,0.0144973197
0.679135101977801,0.0374056431,0.037139536,0.0358266304,0.0333087345,0.0288056469,0.0219360157,0.0149877687
0.692717806720635,0.0432777679,0.0429214754,0.0411634441,0.0377961677,0.0318219436,0.0230381105,0.015179005
0.706300512122442,0.0512861235,0.0508163325,0.0484952872,0.0440401177,0.0361397183,0.0247752334,0.0156168106
0.719883210002583,0.061920215,0.0613133861,0.0583082034,0.0525096024,0.0421606942,0.0273842796,0.0164095054
0.73346591540439,0.075619675,0.074855905,0.0710609978,0.0636796676,0.0503349109,0.031155287,0.0176911199
0.74704861328453,0.0926514092,0.0917197147,0.0870718312,0.0779380048,0.0611125446,0.0364318978,0.0196257925
0.760631318686337,0.112935962,0.111839663,0.106346881,0.0954264994,0.0748364405,0.0435957398,0.0224111406
0.774214016566478,0.135865545,0.134625873,0.128388973,0.115842164,0.0915652558,0.0530123381,0.0262772087
0.787796721968285,0.160208622,0.158865422,0.152083673,0.138289546,0.110878143,0.064912768,0.0314713942
0.801379427370092,0.184199281,0.182808831,0.175767998,0.161300823,0.131777678,0.0792198799,0.0382111831
0.814962125250233,0.22366569,0.222344862,0.215612031,0.201465141,0.17097319,0.109985479,0.0544911294
0.82854483065204,0.237977365,0.236813627,0.230848831,0.218104564,0.189596791,0.1281628,0.0658916855
0.842127528532181,0.245749256,0.244800309,0.239894795,0.229162073,0.203993078,0.145047208,0.0780957348
0.855710233275015,0.246720561,0.246019286,0.242344135,0.234008351,0.213149637,0.159232782,0.0901792182
0.869292931155155,0.24129652,0.240848066,0.238439811,0.232633448,0.216603172,0.169618734,0.101134771
0.882875636556962,0.230359031,0.230144041,0.228918218,0.225537385,0.214403069,0.175514496,0.110047833
0.89645834195877,0.21504838,0.215030489,0.214815273,0.213571992,0.207012362,0.176651045,0.116216405
0.91004103983891,0.196571228,0.196705669,0.197282828,0.197775357,0.195180902,0.173130242,0.119201209
0.923623745240717,0.176064209,0.176305423,0.177446909,0.179228989,0.179817676,0.165343422,0.118822105
0.937206443120858,0.154521012,0.154826933,0.15631952,0.158954334,0.161880451,0.153883195,0.115126675
0.950789148522665,0.120800801,0.121215787,0.123299572,0.127380515,0.134341514,0.137859363,0.112545669
0.964371846402806,0.10037335,0.100762601,0.102731829,0.106666549,0.113808345,0.120088321,0.101697429
0.977954551804613,0.0811937795,0.0815408196,0.0833021513,0.0868771068,0.0936650359,0.101385554,0.0888781819
0.99153725720642,0.0634039415,0.0636968876,0.0651974455,0.0682876083,0.0743636443,0.0824630811,0.0747317136
1.00511995442759,0.0469817843,0.0472239251,0.0484623431,0.0510351876,0.0562254635,0.0639609392,0.0599650956
1.01870265982939,0.0319287367,0.0321245005,0.0331316771,0.0352277094,0.0395129759,0.0464642939,0.0453273239
1.03228535770954,0.0186108312,0.018764386,0.0195547207,0.0212033422,0.0246101064,0.0305671947,0.031549104
1.04586806311134,0.00761777796,0.00773325923,0.00831770748,0.00950979786,0.0119904174,0.0167257046,0.0190866628
1.05945076099148,0.00113996558,0.00118840585,0.00143216478,0.0019683507,0.00321079438,0.00604491852,0.00854435291
1.07303346639329,-0.00191072976,-0.00201858968,-0.00249369546,-0.00331352206,-0.0046380965,-0.00579824949,-0.00435713442
