x,y,z,U_0,U_1,U_2,U_0m
0.3,0,0.002,4.94466877E-05,1.62356771E-06,0,-4.94466877E-05
0.3,0.000667779633,0.002,5.05299364E-05,3.94163839E-06,-1.68219263E-22,-5.05299364E-05
0.3,0.00133555927,0.002,-1.90418059E-05,1.14896461E-05,-2.69445387E-23,1.90418059E-05
0.3,0.0020033389,0.002,-0.000133015098,2.20550288E-05,6.80790505E-23,0.000133015098
0.3,0.00267111853,0.002,-0.00024643354,3.28028717E-05,-2.62027504E-22,0.00024643354
0.3,0.00333889816,0.002,-0.0003378991,4.3777344E-05,-5.46404272E-22,0.0003378991
0.3,0.0040066778,0.002,-0.000401214129,5.40167932E-05,2.77704098E-22,0.000401214129
0.3,0.00467445743,0.002,-0.0004386265,6.37745644E-05,1.28902604E-21,0.0004386265
0.3,0.00534223706,0.002,-0.000455877506,7.28756918E-05,1.08615661E-21,0.000455877506
0.3,0.00601001669,0.002,-0.000459431706,8.15906746E-05,1.71587119E-21,0.000459431706
0.3,0.00667779633,0.002,-0.000454814156,8.99601055E-05,1.78998698E-21,0.000454814156
0.3,0.00734557596,0.002,-0.000446037095,9.81522098E-05,3.29650993E-21,0.000446037095
0.3,0.00801335559,0.002,-0.000435654022,0.000106199404,2.96812495E-21,0.000435654022
0.3,0.00868113523,0.002,-0.000425091022,0.000114177864,1.14413644E-21,0.000425091022
0.3,0.00934891486,0.002,-0.000414976914,0.00012209295,2.3020047E-21,0.000414976914
0.3,0.0100166945,0.002,-0.000405455666,0.000129964728,2.30345609E-21,0.000405455666
0.3,0.0106844741,0.002,-0.000396409117,0.000137771242,1.77183284E-21,0.000396409117
0.3,0.0113522538,0.002,-0.000387583448,0.000145523078,3.13892687E-22,0.000387583448
0.3,0.0120200334,0.002,-0.000378886218,0.000153213334,-6.77852107E-22,0.000378886218
0.3,0.012687813,0.002,-0.000370173148,0.00016083824,-1.0570955E-21,0.000370173148
0.3,0.0133555927,0.002,-0.00036134552,0.00016839274,-1.6395801E-21,0.00036134552
0.3,0.0140233723,0.002,-0.000352345411,0.000175875285,-3.91572152E-21,0.000352345411
0.3,0.0146911519,0.002,-0.000343144471,0.000183283914,-1.09815553E-20,0.000343144471
0.3,0.0153589316,0.002,-0.000333732279,0.000190618068,-6.24796852E-21,0.000333732279
0.3,0.0160267112,0.002,-0.000324071283,0.00019785537,-5.00142314E-21,0.000324071283
0.3,0.0166944908,0.002,-0.000314144083,0.000205018155,-3.9073988E-21,0.000314144083
0.3,0.0173622705,0.002,-0.00030401443,0.000212101899,-1.07878917E-20,0.00030401443
0.3,0.0180300501,0.002,-0.00029368339,0.000219105403,-1.60802115E-20,0.00029368339
0.3,0.0186978297,0.002,-0.000283150826,0.000226027077,-7.52210262E-21,0.000283150826
0.3,0.0193656093,0.002,-0.000272415975,0.000232865088,-8.75282334E-21,0.000272415975
0.3,0.020033389,0.002,-0.000261478205,0.000239617463,-3.30981139E-21,0.000261478205
0.3,0.0207011686,0.002,-0.000250337033,0.000246281691,-3.64912555E-21,0.000250337033
0.3,0.0213689482,0.002,-0.00023894605,0.000252828003,-1.89497641E-20,0.00023894605
0.3,0.0220367279,0.002,-0.000227339598,0.000259285778,-1.62588598E-20,0.000227339598
0.3,0.0227045075,0.002,-0.000215546486,0.000265646898,-1.18572002E-20,0.000215546486
0.3,0.0233722871,0.002,-0.000203573187,0.00027190908,-8.66701742E-23,0.000203573187
0.3,0.0240400668,0.002,-0.000191427752,0.000278070191,4.34624002E-21,0.000191427752
0.3,0.0247078464,0.002,-0.000179119679,0.000284128082,2.11323082E-21,0.000179119679
0.3,0.025375626,0.002,-0.000166659756,0.000290080712,1.75800282E-20,0.000166659756
0.3,0.0260434057,0.002,-0.000154042439,0.000295913243,9.82275336E-22,0.000154042439
0.3,0.0267111853,0.002,-0.000141281197,0.000301626666,-7.87398059E-21,0.000141281197
0.3,0.0273789649,0.002,-0.00012840479,0.000307223495,-1.40686759E-21,0.00012840479
0.3,0.0280467446,0.002,-0.000115436404,0.000312705808,8.34455383E-21,0.000115436404
0.3,0.0287145242,0.002,-0.000102390303,0.000318071955,-7.16764458E-21,0.000102390303
0.3,0.0293823038,0.002,-8.92808862E-05,0.000323320395,-3.60197345E-21,8.92808862E-05
0.3,0.0300500835,0.002,-7.612253E-05,0.000328449743,-5.52603433E-21,7.612253E-05
0.3,0.0307178631,0.002,-6.29293629E-05,0.000333458546,-1.91093731E-20,6.29293629E-05
0.3,0.0313856427,0.002,-4.96948092E-05,0.000338326471,1.33589328E-20,4.96948092E-05
0.3,0.0320534224,0.002,-3.6459163E-05,0.000343064926,9.45129814E-21,3.6459163E-05
0.3,0.032721202,0.002,-2.32393321E-05,0.000347671494,1.26683732E-20,2.32393321E-05
0.3,0.0333889816,0.002,-1.00446703E-05,0.000352150493,3.75098874E-20,1.00446703E-05
0.3,0.0340567613,0.002,3.11341522E-06,0.000356500879,4.99839525E-20,-3.11341522E-06
0.3,0.0347245409,0.002,1.62242401E-05,0.000360721551,5.07174936E-20,-1.62242401E-05
0.3,0.0353923205,0.002,2.92778623E-05,0.000364811489,4.60238304E-20,-2.92778623E-05
0.3,0.0360601002,0.002,4.22670177E-05,0.000368759597,6.83428324E-21,-4.22670177E-05
