Result,U:0,U:1,U:2,SA,p_rgh,rhok,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.20904e-04,2.20904e-04,-1.88276e-04,2.87387e-20,1.24182e+00,5.56591e-06,9.50327e-01,1,3.03200e-01,3.00000e-01,3.03200e-01,2.00000e-03
-2.26411e-04,2.26411e-04,-1.92522e-04,9.34855e-20,1.24082e+00,5.58124e-06,9.50367e-01,1,3.03600e-01,3.00000e-01,3.03600e-01,2.00000e-03
-2.31929e-04,2.31929e-04,-1.96784e-04,1.56160e-19,1.23981e+00,5.59677e-06,9.50407e-01,1,3.04000e-01,3.00000e-01,3.04000e-01,2.00000e-03
-2.37571e-04,2.37571e-04,-2.01076e-04,1.58358e-19,1.23881e+00,5.61305e-06,9.50448e-01,1,3.04400e-01,3.00000e-01,3.04400e-01,2.00000e-03
-2.43219e-04,2.43219e-04,-2.05380e-04,1.64742e-19,1.23780e+00,5.62957e-06,9.50488e-01,1,3.04800e-01,3.00000e-01,3.04800e-01,2.00000e-03
-2.48874e-04,2.48874e-04,-2.09697e-04,1.75318e-19,1.23679e+00,5.64634e-06,9.50528e-01,1,3.05200e-01,3.00000e-01,3.05200e-01,2.00000e-03
-2.54591e-04,2.54591e-04,-2.14018e-04,1.22334e-19,1.23579e+00,5.66402e-06,9.50569e-01,1,3.05600e-01,3.00000e-01,3.05600e-01,2.00000e-03
-2.60338e-04,2.60338e-04,-2.18343e-04,5.05672e-20,1.23478e+00,5.68241e-06,9.50609e-01,1,3.06000e-01,3.00000e-01,3.06000e-01,2.00000e-03
-2.66094e-04,2.66094e-04,-2.22678e-04,7.82012e-21,1.23377e+00,5.70214e-06,9.50649e-01,1,3.06400e-01,3.00000e-01,3.06400e-01,2.00000e-03
-2.71860e-04,2.71860e-04,-2.27002e-04,-4.58075e-20,1.23276e+00,5.72275e-06,9.50690e-01,1,3.06800e-01,3.00000e-01,3.06800e-01,2.00000e-03
-2.77646e-04,2.77646e-04,-2.31301e-04,-1.36735e-19,1.23175e+00,5.74475e-06,9.50730e-01,1,3.07200e-01,3.00000e-01,3.07200e-01,2.00000e-03
