x,y,z,U_0,U_1,U_2,U_0m
0.3,0.089632107,0.002,0.000356593393,0.000290287017,-4.42934108E-19,-0.000356593393
0.3,0.0909698997,0.002,0.000345427242,0.000282889217,-4.46063445E-19,-0.000345427242
0.3,0.0923076923,0.002,0.000334010992,0.000275432686,-1.51161762E-19,-0.000334010992
0.3,0.0936454849,0.002,0.000322436665,0.000267931661,-2.07923121E-20,-0.000322436665
0.3,0.0949832776,0.002,0.000310768967,0.000260398966,-2.60429566E-19,-0.000310768967
0.3,0.0963210702,0.002,0.000299014798,0.000252826183,-3.259011E-19,-0.000299014798
0.3,0.0976588629,0.002,0.00028724599,0.000245251654,-4.23649092E-19,-0.00028724599
0.3,0.0989966555,0.002,0.000275518778,0.000237702961,-3.32486179E-19,-0.000275518778
0.3,0.100334448,0.002,0.000263864625,0.000230195426,-3.12821189E-19,-0.000263864625
0.3,0.101672241,0.002,0.000252324252,0.000222755659,-2.5369863E-20,-0.000252324252
0.3,0.103010033,0.002,0.000240909429,0.000215376973,-2.47988241E-20,-0.000240909429
0.3,0.104347826,0.002,0.000229628403,0.00020806177,-2.36082259E-19,-0.000229628403
0.3,0.105685619,0.002,0.000218565874,0.000200867129,-3.14417296E-19,-0.000218565874
0.3,0.107023411,0.002,0.000207735819,0.000193802983,-3.91339267E-19,-0.000207735819
0.3,0.108361204,0.002,0.000197133404,0.000186864959,-5.88570332E-19,-0.000197133404
0.3,0.109698997,0.002,0.000186802471,0.000180070705,-3.86730899E-19,-0.000186802471
0.3,0.111036789,0.002,0.000176752292,0.0001734275,-4.34902874E-20,-0.000176752292
0.3,0.112374582,0.002,0.000166929815,0.00016690499,-2.56460531E-19,-0.000166929815
0.3,0.113712375,0.002,0.00015737468,0.000160530268,-5.59140393E-19,-0.00015737468
0.3,0.115050167,0.002,0.000148238596,0.000154413822,-7.07344126E-19,-0.000148238596
0.3,0.11638796,0.002,0.000139424245,0.00014848397,-6.37682979E-19,-0.000139424245
0.3,0.117725753,0.002,0.000130949236,0.000142742683,-2.23224604E-19,-0.000130949236
0.3,0.119063545,0.002,0.000122870465,0.000137203293,-7.58562206E-20,-0.000122870465
0.3,0.120401338,0.002,0.000115119347,0.000131843036,-5.2278408E-20,-0.000115119347
0.3,0.12173913,0.002,0.000107674602,0.000126643326,-9.56159422E-20,-0.000107674602
0.3,0.123076923,0.002,0.000100647234,0.00012168002,5.98752254E-20,-0.000100647234
0.3,0.124414716,0.002,9.4106255E-05,0.000116998957,2.71242303E-19,-9.4106255E-05
0.3,0.125752508,0.002,8.79514114E-05,0.00011252092,1.69918694E-19,-8.79514114E-05
0.3,0.127090301,0.002,8.22627114E-05,0.000108258393,1.2276841E-19,-8.22627114E-05
0.3,0.128428094,0.002,7.69794048E-05,0.000104198148,5.54077838E-21,-7.69794048E-05
0.3,0.129765886,0.002,7.20265137E-05,0.000100292224,-5.32140403E-20,-7.20265137E-05
0.3,0.131103679,0.002,6.74693935E-05,9.65806151E-05,-2.78284206E-19,-6.74693935E-05
0.3,0.132441472,0.002,6.34429459E-05,9.31576662E-05,-4.45649496E-19,-6.34429459E-05
0.3,0.133779264,0.002,5.98436728E-05,8.99448125E-05,-2.89672744E-19,-5.98436728E-05
0.3,0.135117057,0.002,5.6688832E-05,8.69259684E-05,-4.67874662E-20,-5.6688832E-05
0.3,0.136454849,0.002,5.3941738E-05,8.40904861E-05,1.11706482E-20,-5.3941738E-05
0.3,0.137792642,0.002,5.15310358E-05,8.14042389E-05,4.96420132E-20,-5.15310358E-05
0.3,0.139130435,0.002,4.94666809E-05,7.88744127E-05,1.24431018E-19,-4.94666809E-05
0.3,0.140468227,0.002,4.78201337E-05,7.65496906E-05,9.64715453E-20,-4.78201337E-05
0.3,0.14180602,0.002,4.65923779E-05,7.443194E-05,4.86275712E-20,-4.65923779E-05
0.3,0.143143813,0.002,4.5723878E-05,7.24680687E-05,1.25022986E-20,-4.5723878E-05
0.3,0.144481605,0.002,4.51863541E-05,7.06483848E-05,-3.94714217E-21,-4.51863541E-05
0.3,0.145819398,0.002,4.49214618E-05,6.89496306E-05,-3.46933777E-20,-4.49214618E-05
