Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
3.78834e-04,-3.78834e-04,1.34746e-04,5.51736e-22,1.10274e+00,3.35158e+00,-7.05068e-02,1,3.58000e-01,3.00000e-01,3.58000e-01,2.00000e-03
3.93834e-04,-3.93834e-04,1.46783e-04,6.11737e-22,1.10176e+00,3.35540e+00,-7.06465e-02,1,3.58400e-01,3.00000e-01,3.58400e-01,2.00000e-03
4.08655e-04,-4.08655e-04,1.58785e-04,5.95797e-22,1.10079e+00,3.35923e+00,-7.07861e-02,1,3.58800e-01,3.00000e-01,3.58800e-01,2.00000e-03
4.23107e-04,-4.23107e-04,1.70792e-04,3.75607e-22,1.09982e+00,3.36305e+00,-7.09257e-02,1,3.59200e-01,3.00000e-01,3.59200e-01,2.00000e-03
4.37549e-04,-4.37549e-04,1.82717e-04,1.44041e-22,1.09885e+00,3.36687e+00,-7.10653e-02,1,3.59600e-01,3.00000e-01,3.59600e-01,2.00000e-03
4.51982e-04,-4.51982e-04,1.94560e-04,-9.89147e-23,1.09788e+00,3.37070e+00,-7.12048e-02,1,3.60000e-01,3.00000e-01,3.60000e-01,2.00000e-03
4.65833e-04,-4.65833e-04,2.06370e-04,-3.60029e-22,1.09692e+00,3.37452e+00,-7.13444e-02,1,3.60400e-01,3.00000e-01,3.60400e-01,2.00000e-03
4.79659e-04,-4.79659e-04,2.18095e-04,-6.23184e-22,1.09595e+00,3.37835e+00,-7.14839e-02,1,3.60800e-01,3.00000e-01,3.60800e-01,2.00000e-03
4.93457e-04,-4.93457e-04,2.29736e-04,-8.88363e-22,1.09498e+00,3.38217e+00,-7.16234e-02,1,3.61200e-01,3.00000e-01,3.61200e-01,2.00000e-03
5.06782e-04,-5.06782e-04,2.41253e-04,-1.15415e-21,1.09402e+00,3.38600e+00,-7.17628e-02,1,3.61600e-01,3.00000e-01,3.61600e-01,2.00000e-03
5.19687e-04,-5.19687e-04,2.52609e-04,-1.43151e-21,1.09306e+00,3.38982e+00,-7.19022e-02,1,3.62000e-01,3.00000e-01,3.62000e-01,2.00000e-03
5.32536e-04,-5.32536e-04,2.63856e-04,-1.71569e-21,1.09210e+00,3.39365e+00,-7.20414e-02,1,3.62400e-01,3.00000e-01,3.62400e-01,2.00000e-03
5.45150e-04,-5.45150e-04,2.74956e-04,-1.83598e-21,1.09114e+00,3.39747e+00,-7.21807e-02,1,3.62800e-01,3.00000e-01,3.62800e-01,2.00000e-03
5.57332e-04,-5.57332e-04,2.85869e-04,-1.65737e-21,1.09018e+00,3.40130e+00,-7.23201e-02,1,3.63200e-01,3.00000e-01,3.63200e-01,2.00000e-03
5.69441e-04,-5.69441e-04,2.96675e-04,-1.53930e-21,1.08922e+00,3.40512e+00,-7.24593e-02,1,3.63600e-01,3.00000e-01,3.63600e-01,2.00000e-03
5.81476e-04,-5.81476e-04,3.07371e-04,-1.48188e-21,1.08827e+00,3.40895e+00,-7.25985e-02,1,3.64000e-01,3.00000e-01,3.64000e-01,2.00000e-03
5.92918e-04,-5.92918e-04,3.17751e-04,-9.42997e-22,1.08731e+00,3.41277e+00,-7.27379e-02,1,3.64400e-01,3.00000e-01,3.64400e-01,2.00000e-03
6.04266e-04,-6.04266e-04,3.28025e-04,-4.20182e-22,1.08636e+00,3.41660e+00,-7.28772e-02,1,3.64800e-01,3.00000e-01,3.64800e-01,2.00000e-03
6.15520e-04,-6.15520e-04,3.38195e-04,8.65385e-23,1.08541e+00,3.42043e+00,-7.30164e-02,1,3.65200e-01,3.00000e-01,3.65200e-01,2.00000e-03
6.26365e-04,-6.26365e-04,3.48056e-04,4.38799e-22,1.08445e+00,3.42425e+00,-7.31557e-02,1,3.65600e-01,3.00000e-01,3.65600e-01,2.00000e-03
6.36940e-04,-6.36940e-04,3.57714e-04,7.77884e-22,1.08350e+00,3.42808e+00,-7.32951e-02,1,3.66000e-01,3.00000e-01,3.66000e-01,2.00000e-03
6.47400e-04,-6.47400e-04,3.67273e-04,1.18750e-21,1.08255e+00,3.43191e+00,-7.34344e-02,1,3.66400e-01,3.00000e-01,3.66400e-01,2.00000e-03
6.57493e-04,-6.57493e-04,3.76522e-04,1.55493e-21,1.08160e+00,3.43573e+00,-7.35737e-02,1,3.66800e-01,3.00000e-01,3.66800e-01,2.00000e-03
6.66958e-04,-6.66958e-04,3.85240e-04,1.71580e-21,1.08066e+00,3.43956e+00,-7.37131e-02,1,3.67200e-01,3.00000e-01,3.67200e-01,2.00000e-03
6.76287e-04,-6.76287e-04,3.93839e-04,1.86991e-21,1.07971e+00,3.44339e+00,-7.38524e-02,1,3.67600e-01,3.00000e-01,3.67600e-01,2.00000e-03
6.85480e-04,-6.85480e-04,4.02320e-04,2.01728e-21,1.07876e+00,3.44721e+00,-7.39917e-02,1,3.68000e-01,3.00000e-01,3.68000e-01,2.00000e-03
6.94175e-04,-6.94175e-04,4.10189e-04,1.71478e-21,1.07782e+00,3.45104e+00,-7.41313e-02,1,3.68400e-01,3.00000e-01,3.68400e-01,2.00000e-03
7.02714e-04,-7.02714e-04,4.17948e-04,1.52618e-21,1.07687e+00,3.45487e+00,-7.42709e-02,1,3.68800e-01,3.00000e-01,3.68800e-01,2.00000e-03
7.11096e-04,-7.11096e-04,4.25598e-04,1.45165e-21,1.07593e+00,3.45870e+00,-7.44103e-02,1,3.69200e-01,3.00000e-01,3.69200e-01,2.00000e-03
7.19124e-04,-7.19124e-04,4.32745e-04,1.24953e-21,1.07498e+00,3.46252e+00,-7.45500e-02,1,3.69600e-01,3.00000e-01,3.69600e-01,2.00000e-03
7.26879e-04,-7.26879e-04,4.39594e-04,9.47266e-22,1.07404e+00,3.46635e+00,-7.46898e-02,1,3.70000e-01,3.00000e-01,3.70000e-01,2.00000e-03
7.34456e-04,-7.34456e-04,4.46345e-04,6.47071e-22,1.07309e+00,3.47018e+00,-7.48295e-02,1,3.70400e-01,3.00000e-01,3.70400e-01,2.00000e-03
7.41777e-04,-7.41777e-04,4.52768e-04,4.60608e-22,1.07215e+00,3.47401e+00,-7.49693e-02,1,3.70800e-01,3.00000e-01,3.70800e-01,2.00000e-03
7.48748e-04,-7.48748e-04,4.58641e-04,4.19067e-22,1.07121e+00,3.47784e+00,-7.51094e-02,1,3.71200e-01,3.00000e-01,3.71200e-01,2.00000e-03
7.55522e-04,-7.55522e-04,4.64430e-04,2.58855e-22,1.07027e+00,3.48167e+00,-7.52494e-02,1,3.71600e-01,3.00000e-01,3.71600e-01,2.00000e-03
7.61906e-04,-7.61906e-04,4.69925e-04,2.09120e-23,1.06933e+00,3.48549e+00,-7.53893e-02,1,3.72000e-01,3.00000e-01,3.72000e-01,2.00000e-03
7.67757e-04,-7.67757e-04,4.74374e-04,-6.41294e-23,1.06838e+00,3.48932e+00,-7.55298e-02,1,3.72400e-01,3.00000e-01,3.72400e-01,2.00000e-03
7.73400e-04,-7.73400e-04,4.78728e-04,-1.91772e-22,1.06744e+00,3.49315e+00,-7.56702e-02,1,3.72800e-01,3.00000e-01,3.72800e-01,2.00000e-03
7.78835e-04,-7.78835e-04,4.82988e-04,-3.62098e-22,1.06650e+00,3.49698e+00,-7.58106e-02,1,3.73200e-01,3.00000e-01,3.73200e-01,2.00000e-03
7.83974e-04,-7.83974e-04,4.86577e-04,-6.23437e-22,1.06556e+00,3.50081e+00,-7.59513e-02,1,3.73600e-01,3.00000e-01,3.73600e-01,2.00000e-03
7.88844e-04,-7.88844e-04,4.89796e-04,-9.24594e-22,1.06462e+00,3.50464e+00,-7.60921e-02,1,3.74000e-01,3.00000e-01,3.74000e-01,2.00000e-03
7.93488e-04,-7.93488e-04,4.92935e-04,-1.23603e-21,1.06368e+00,3.50847e+00,-7.62329e-02,1,3.74400e-01,3.00000e-01,3.74400e-01,2.00000e-03
7.97875e-04,-7.97875e-04,4.95678e-04,-1.42027e-21,1.06274e+00,3.51230e+00,-7.63739e-02,1,3.74800e-01,3.00000e-01,3.74800e-01,2.00000e-03
8.01963e-04,-8.01963e-04,4.97720e-04,-1.32877e-21,1.06180e+00,3.51613e+00,-7.65153e-02,1,3.75200e-01,3.00000e-01,3.75200e-01,2.00000e-03
8.05807e-04,-8.05807e-04,4.99697e-04,-1.23086e-21,1.06086e+00,3.51996e+00,-7.66566e-02,1,3.75600e-01,3.00000e-01,3.75600e-01,2.00000e-03
8.09406e-04,-8.09406e-04,5.01610e-04,-1.12649e-21,1.05992e+00,3.52379e+00,-7.67979e-02,1,3.76000e-01,3.00000e-01,3.76000e-01,2.00000e-03
8.12699e-04,-8.12699e-04,5.02445e-04,-6.86696e-22,1.05898e+00,3.52762e+00,-7.69398e-02,1,3.76400e-01,3.00000e-01,3.76400e-01,2.00000e-03
8.15735e-04,-8.15735e-04,5.03231e-04,-1.87962e-22,1.05804e+00,3.53145e+00,-7.70816e-02,1,3.76800e-01,3.00000e-01,3.76800e-01,2.00000e-03
8.18371e-04,-8.18371e-04,5.03564e-04,4.45972e-22,1.05709e+00,3.53528e+00,-7.72246e-02,1,3.77200e-01,3.00000e-01,3.77200e-01,2.00000e-03
8.20858e-04,-8.20858e-04,5.03118e-04,7.32123e-22,1.05614e+00,3.53911e+00,-7.73682e-02,1,3.77600e-01,3.00000e-01,3.77600e-01,2.00000e-03
8.23211e-04,-8.23211e-04,5.02292e-04,9.21256e-22,1.05519e+00,3.54294e+00,-7.75119e-02,1,3.78000e-01,3.00000e-01,3.78000e-01,2.00000e-03
8.25434e-04,-8.25434e-04,5.01446e-04,1.23417e-21,1.05424e+00,3.54677e+00,-7.76556e-02,1,3.78400e-01,3.00000e-01,3.78400e-01,2.00000e-03
8.27529e-04,-8.27529e-04,5.00202e-04,1.35527e-21,1.05329e+00,3.55061e+00,-7.77995e-02,1,3.78800e-01,3.00000e-01,3.78800e-01,2.00000e-03
8.29496e-04,-8.29496e-04,4.98183e-04,8.86186e-22,1.05234e+00,3.55444e+00,-7.79438e-02,1,3.79200e-01,3.00000e-01,3.79200e-01,2.00000e-03
8.31329e-04,-8.31329e-04,4.96153e-04,4.17080e-22,1.05139e+00,3.55827e+00,-7.80881e-02,1,3.79600e-01,3.00000e-01,3.79600e-01,2.00000e-03
8.33027e-04,-8.33027e-04,4.94110e-04,-5.20121e-23,1.05044e+00,3.56210e+00,-7.82323e-02,1,3.80000e-01,3.00000e-01,3.80000e-01,2.00000e-03
8.34581e-04,-8.34581e-04,4.90882e-04,-5.57263e-22,1.04949e+00,3.56593e+00,-7.83771e-02,1,3.80400e-01,3.00000e-01,3.80400e-01,2.00000e-03
8.35999e-04,-8.35999e-04,4.87647e-04,-1.20852e-21,1.04854e+00,3.56976e+00,-7.85218e-02,1,3.80800e-01,3.00000e-01,3.80800e-01,2.00000e-03
8.37282e-04,-8.37282e-04,4.84407e-04,-2.00601e-21,1.04759e+00,3.57360e+00,-7.86665e-02,1,3.81200e-01,3.00000e-01,3.81200e-01,2.00000e-03
8.38393e-04,-8.38393e-04,4.80371e-04,-1.80437e-21,1.04664e+00,3.57743e+00,-7.88115e-02,1,3.81600e-01,3.00000e-01,3.81600e-01,2.00000e-03
8.17337e-04,-8.17337e-04,4.72470e-04,1.62462e-21,1.04588e+00,3.58126e+00,-7.89265e-02,1,3.82000e-01,3.00000e-01,3.82000e-01,2.00000e-03
8.16425e-04,-8.16425e-04,4.67521e-04,8.93021e-23,1.04493e+00,3.58509e+00,-7.90718e-02,1,3.82400e-01,3.00000e-01,3.82400e-01,2.00000e-03
8.15369e-04,-8.15369e-04,4.62205e-04,-6.92591e-22,1.04398e+00,3.58893e+00,-7.92172e-02,1,3.82800e-01,3.00000e-01,3.82800e-01,2.00000e-03
8.14141e-04,-8.14141e-04,4.56163e-04,-1.76303e-22,1.04303e+00,3.59276e+00,-7.93627e-02,1,3.83200e-01,3.00000e-01,3.83200e-01,2.00000e-03
8.12798e-04,-8.12798e-04,4.50126e-04,1.13736e-22,1.04209e+00,3.59659e+00,-7.95082e-02,1,3.83600e-01,3.00000e-01,3.83600e-01,2.00000e-03
8.11341e-04,-8.11341e-04,4.44093e-04,1.77235e-22,1.04114e+00,3.60043e+00,-7.96538e-02,1,3.84000e-01,3.00000e-01,3.84000e-01,2.00000e-03
8.09638e-04,-8.09638e-04,4.36995e-04,4.00386e-22,1.04019e+00,3.60426e+00,-7.97992e-02,1,3.84400e-01,3.00000e-01,3.84400e-01,2.00000e-03
8.07825e-04,-8.07825e-04,4.29908e-04,5.93238e-22,1.03925e+00,3.60809e+00,-7.99448e-02,1,3.84800e-01,3.00000e-01,3.84800e-01,2.00000e-03
8.05900e-04,-8.05900e-04,4.22833e-04,7.55734e-22,1.03830e+00,3.61193e+00,-8.00903e-02,1,3.85200e-01,3.00000e-01,3.85200e-01,2.00000e-03
8.03791e-04,-8.03791e-04,4.15074e-04,2.53945e-22,1.03736e+00,3.61576e+00,-8.02356e-02,1,3.85600e-01,3.00000e-01,3.85600e-01,2.00000e-03
8.01537e-04,-8.01537e-04,4.06985e-04,-5.10645e-22,1.03642e+00,3.61960e+00,-8.03809e-02,1,3.86000e-01,3.00000e-01,3.86000e-01,2.00000e-03
7.99176e-04,-7.99176e-04,3.98912e-04,-1.20408e-21,1.03548e+00,3.62343e+00,-8.05262e-02,1,3.86400e-01,3.00000e-01,3.86400e-01,2.00000e-03
7.96516e-04,-7.96516e-04,3.90451e-04,-1.62291e-21,1.03454e+00,3.62726e+00,-8.06712e-02,1,3.86800e-01,3.00000e-01,3.86800e-01,2.00000e-03
7.92304e-04,-7.92304e-04,3.80897e-04,-1.54615e-21,1.03361e+00,3.63110e+00,-8.08151e-02,1,3.87200e-01,3.00000e-01,3.87200e-01,2.00000e-03
