x_velocity,y_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.00000e+00,0.00000e+00,1,0.00000e+00,3.00000e+01,0.00000e+00,5.00000e+00
2.13223e-02,-1.34461e-04,1,4.00000e-02,3.00000e+01,4.00000e-02,5.00000e+00
4.51365e-02,-4.14851e-04,1,8.00000e-02,3.00000e+01,8.00000e-02,5.00000e+00
6.89069e-02,-7.49017e-04,1,1.20000e-01,3.00000e+01,1.20000e-01,5.00000e+00
9.04490e-02,-1.05819e-03,1,1.60000e-01,3.00000e+01,1.60000e-01,5.00000e+00
1.08876e-01,-1.23195e-03,1,2.00000e-01,3.00000e+01,2.00000e-01,5.00000e+00
1.23934e-01,-1.35209e-03,1,2.40000e-01,3.00000e+01,2.40000e-01,5.00000e+00
1.35981e-01,-1.38599e-03,1,2.80000e-01,3.00000e+01,2.80000e-01,5.00000e+00
1.44920e-01,-1.28984e-03,1,3.20000e-01,3.00000e+01,3.20000e-01,5.00000e+00
1.50974e-01,-1.15765e-03,1,3.60000e-01,3.00000e+01,3.60000e-01,5.00000e+00
1.53058e-01,-7.88062e-04,1,4.00000e-01,3.00000e+01,4.00000e-01,5.00000e+00
1.55262e-01,-4.94619e-04,1,4.40000e-01,3.00000e+01,4.40000e-01,5.00000e+00
1.56236e-01,-1.85154e-04,1,4.80000e-01,3.00000e+01,4.80000e-01,5.00000e+00
1.54966e-01,2.49489e-04,1,5.20000e-01,3.00000e+01,5.20000e-01,5.00000e+00
1.53696e-01,6.84133e-04,1,5.60000e-01,3.00000e+01,5.60000e-01,5.00000e+00
1.52426e-01,1.11878e-03,1,6.00000e-01,3.00000e+01,6.00000e-01,5.00000e+00
1.51156e-01,1.55342e-03,1,6.40000e-01,3.00000e+01,6.40000e-01,5.00000e+00
1.49890e-01,1.94843e-03,1,6.80000e-01,3.00000e+01,6.80000e-01,5.00000e+00
1.48278e-01,2.28473e-03,1,7.20000e-01,3.00000e+01,7.20000e-01,5.00000e+00
1.46457e-01,2.62397e-03,1,7.60000e-01,3.00000e+01,7.60000e-01,5.00000e+00
1.44636e-01,2.99486e-03,1,8.00000e-01,3.00000e+01,8.00000e-01,5.00000e+00
1.42815e-01,3.36993e-03,1,8.40000e-01,3.00000e+01,8.40000e-01,5.00000e+00
1.40994e-01,3.74499e-03,1,8.80000e-01,3.00000e+01,8.80000e-01,5.00000e+00
1.39173e-01,4.12006e-03,1,9.20000e-01,3.00000e+01,9.20000e-01,5.00000e+00
1.37352e-01,4.49512e-03,1,9.60000e-01,3.00000e+01,9.60000e-01,5.00000e+00
1.35531e-01,4.87019e-03,1,1.00000e+00,3.00000e+01,1.00000e+00,5.00000e+00
1.34637e-01,5.24068e-03,1,1.04000e+00,3.00000e+01,1.04000e+00,5.00000e+00
1.33955e-01,5.57287e-03,1,1.08000e+00,3.00000e+01,1.08000e+00,5.00000e+00
1.33130e-01,5.74797e-03,1,1.12000e+00,3.00000e+01,1.12000e+00,5.00000e+00
1.32304e-01,5.92307e-03,1,1.16000e+00,3.00000e+01,1.16000e+00,5.00000e+00
1.31479e-01,6.09816e-03,1,1.20000e+00,3.00000e+01,1.20000e+00,5.00000e+00
